Generation,PopBest,PopWorst,PopAvg,StdDeviation,BestOverall
0,3355.485,-2809.513,-150.2979,969.1882,3355.485
1,6462.982,-67.12328,932.4802,1969.419,6462.982
2,10759.43,-205.5181,4520.302,2971.541,10759.43
3,33878.39,2085.19,6289.02,6262.864,33878.39
4,33878.39,89.80859,9899.673,10058.55,33878.39
5,161475.1,-18.24852,23508.72,32066.34,161475.1
6,96874.32,9.75269,17465.12,22054.75,161475.1
7,515684.8,-194.818,48377.29,99854.27,515684.8
8,515684.8,3178.436,50553.63,97954.71,515684.8
9,515684.8,36.21917,103146.2,165125.7,515684.8
10,2504971,79.50192,173241.8,495082,2504971
11,2552767,80.35046,1098220,1175513,2552767
12,2577528,-69.26441,1363020,1154932,2577528
13,2587828,-260.3738,1716888,1054842,2587828
14,2637184,-213.5854,1873861,1119148,2637184
15,2636031,-212.9348,1689144,1188936,2637184
16,2643959,-9.019692,1478499,1215029,2643959
17,2661219,-191.8025,1014444,1128658,2661219
18,2667899,688.5422,1643783,1089344,2667899
19,2680310,101.2257,2338882,849236.4,2680310
20,2666366,37.33514,1734328,1219258,2680310
21,2667899,62.09185,2089799,1009858,2680310
22,2766048,-272.5898,1665859,1228787,2766048
23,2768098,89.16877,1505716,1225225,2768098
24,2764228,-158,1376317,1321653,2768098
25,2777140,3728.921,1218855,1212792,2777140
26,2779929,-38.62189,1406240,1251826,2779929
27,2779929,-113.9168,1237995,1246467,2779929
28,2777140,94.98114,781451.2,1086147,2779929
29,2777140,98.74232,1263399,1287696,2779929
30,2781772,1458.621,1579711,1261481,2781772
31,2780638,-5.355887,860257.5,1215932,2781772
32,2781839,-220.9889,1489272,1272236,2781839
33,2781839,-235.6648,1076360,1298770,2781839
34,2783460,101.5448,1111673,1309414,2783460
35,2777009,-187.7971,779229.4,1201403,2783460
36,2781772,98.75317,896985.8,1189244,2783460
37,2783460,23.38131,1046066,1272146,2783460
38,2781839,123.5829,969857.5,1263390,2783460
39,2781772,1419.073,909275.8,1240937,2783460
40,2781772,114.3773,876765.7,1201010,2783460
41,2783460,-80.51342,973911.5,1257599,2783460
42,2781839,8.811134,1170801,1323211,2783460
43,2786124,44.96241,1077199,1310442,2786124
44,2781839,42.60649,1459495,1282855,2786124
45,2781839,3528.816,858192.8,1221299,2786124
46,2786124,-206.2224,1137333,1328928,2786124
47,2781839,-37.79567,942772.2,1213002,2786124
48,2781839,-306.626,1053292,1277041,2786124
49,2783460,100.7601,981347.8,1286430,2786124
50,2783460,-26.64349,1079878,1305228,2786124
51,2781839,-288.3501,1036139,1277291,2786124
52,2783460,110.4511,955253.1,1265876,2786124
53,2786124,-21.18789,1137838,1332783,2786124
54,2783460,-65.77672,1050444,1314500,2786124
55,2786610,-266.5726,1205100,1292645,2786610
56,2783460,-20.81884,1325418,1282952,2786610
57,2782628,32.77038,1293316,1350247,2786610
58,2782628,-20.89987,1301990,1261026,2786610
59,2782628,-20.42296,1441078,1303295,2786610
60,2782628,-259.7166,1026382,1235675,2786610
61,2782628,3812.358,1807197,1180127,2786610
62,2782628,38.05052,1241447,1252551,2786610
63,2782628,9.324072,1284289,1213659,2786610
64,2782628,87.36511,1734976,1177123,2786610
65,2780763,-115.4508,1371826,1279099,2786610
66,2782628,4630.479,1416837,1216175,2786610
67,2782628,105.8875,1518110,1214282,2786610
68,2782628,-20.80984,1087322,1271097,2786610
69,2782628,-74.23398,1249282,1295235,2786610
70,2782628,31.73586,1376288,1337172,2786610
71,2780763,-156.9535,1901094,1103080,2786610
72,2782628,1913.765,1191658,1328961,2786610
73,2781978,-133.3992,1512079,1335706,2786610
74,2781094,-296.2584,975928.8,1246472,2786610

