Generation,PopBest,PopWorst,PopAvg,StdDeviation,BestOverall
0,6595.42,-230.5783,695.8535,1784.949,6595.42
1,6925.115,-159.1024,3371.423,2964.237,6925.115
2,42730.29,-37.25737,6913.315,7909.063,42730.29
3,153055.7,-188.7138,10712.83,29322.26,153055.7
4,43506.5,-33.82798,10834.94,9961.688,153055.7
5,153055.7,-145.0533,19161.45,31482.55,153055.7
6,242659.6,-32.45307,18735.42,46844.82,242659.6
7,894390.3,63.97034,96984.54,204056.1,894390.3
8,568561.9,-28.62057,137730.7,144289.8,894390.3
9,568561.9,-82.28582,153612.8,187530.9,894390.3
10,568561.9,284.8517,138490.6,180145.8,894390.3
11,569311.8,-79.29701,105963.9,157928.4,894390.3
12,568561.9,-73.78258,156882.3,182617.3,894390.3
13,689631.4,-449.5669,129373.7,199362.6,894390.3
14,568561.9,-172.4265,134169.5,170516.9,894390.3
15,568561.9,151.7937,156025,189630.9,894390.3
16,1942896,150.9567,252154.4,387173.1,1942896
17,1983187,-258.9938,269794.5,450551.4,1983187
18,1954464,5463.57,187640.8,391004.1,1983187
19,1954464,37.4544,323262,526912.6,1983187
20,2103669,-82.99878,341746.9,643362.1,2103669
21,2103669,-79.4806,447662.8,727781.4,2103669
22,2103669,-256.0244,628251.4,913072.1,2103669
23,2103669,118.232,860499.1,1006030,2103669
24,2103669,-82.8363,878255.4,1002005,2103669
25,2103669,-23.22498,759539.1,964487.4,2103669
26,2103669,-84.51576,839147.6,983913.6,2103669
27,2256804,-470.3087,638623.6,926581.9,2256804
28,2256804,-83.09521,380897.6,768745.1,2256804
29,2256804,48.45374,522884.4,891035.1,2256804
30,2256804,-28.71954,709330.5,964300.3,2256804
31,2076390,-485.164,254455.2,577570.3,2256804
32,2103669,37.0902,898194.1,954846.2,2256804
33,2103669,-30.23789,928155.8,1020224,2256804
34,2103669,153.8911,1160116,1003193,2256804
35,2103669,-76.5399,900752.6,997186.8,2256804
36,2117237,-82.57137,810620,974906.2,2256804
37,2103669,14.69897,982367.3,996868.6,2256804
38,2103669,179.5481,884383.9,1006819,2256804
39,2103669,-88.18733,523611.6,883274.6,2256804
40,2103669,150.76,903918.9,1001533,2256804
41,2103669,-274.2483,1039031,1016802,2256804
42,2103669,161.1711,1017723,993940.2,2256804
43,2103669,-28.71954,825125.7,973866.7,2256804
44,2103669,367.1575,756200.9,924276.4,2256804
45,2103669,150.0341,794993.8,971971.2,2256804
46,2117237,-83.68158,865171.3,1001854,2256804
47,2103669,-37.82998,686315.6,961846.9,2256804
48,2103669,-255.0102,1023497,1030852,2256804
49,2103669,-17.40824,708503.7,865469.1,2256804
50,2103669,-491.9471,865232.8,977971.1,2256804
51,2103669,-394.0783,937394.2,1013251,2256804
52,2117237,-249.3209,773962.9,983568,2256804
53,2103669,41.24074,702747.3,914846.3,2256804
54,2103669,-394.0783,773055.8,993583.4,2256804
55,2103669,33.01221,675853.1,908016.3,2256804
56,2103669,110.8235,773271.8,955033.2,2256804
57,2103669,-29.89898,985853.2,1014063,2256804
58,2103669,40.27236,886603.3,994515.3,2256804
59,2103669,34.0077,890841.3,993854,2256804
60,2103669,-33.14671,838492.8,918544.6,2256804
61,2103669,-83.74907,1023923,1027866,2256804
62,2103669,25.83686,857205.5,1002445,2256804
63,2117237,-394.0783,814566.4,975667.6,2256804
64,2103669,-79.90317,1052511,1010329,2256804
65,2103669,-67.28645,887794.1,956411.1,2256804
66,2103669,26.67349,856293.6,1006840,2256804
67,2103669,-56.52124,938623.1,1020918,2256804
68,2103669,-77.05956,552051.5,871974.4,2256804
69,2103669,-28.71954,644527.2,900055.9,2256804
70,2118022,-73.55389,977330.5,1018529,2256804
71,2103669,-27.80446,989627.4,925542.4,2256804
72,2103669,-363.799,642628.8,877108.7,2256804
73,2103669,-362.3247,1188480,984912.2,2256804
74,2157760,70.51884,1007576,960378.2,2256804

