Generation,PopBest,PopWorst,PopAvg,StdDeviation,BestOverall
0,518.4565,-250.6855,-3.254485,172.9862,518.4565
1,542.0256,-39.11744,226.0954,198.8004,542.0256
2,622.5753,-111.7877,239.2688,248.1491,622.5753
3,658.3703,-487.413,334.2773,297.3589,658.3703
4,658.3703,-2343.738,203.4013,635.5497,658.3703
5,814.7009,-721.2648,418.9857,333.7651,814.7009
6,658.3703,-2085.565,330.1369,553.5322,814.7009
7,658.3703,-592.6718,376.3259,351.514,814.7009
8,658.3703,-26.7251,507.4159,220.4995,814.7009
9,658.3703,-16.97065,462.71,226.3604,814.7009
10,631.4402,-521.3943,355.0144,343.8006,814.7009
11,659.3995,-15.86257,489.8302,199.2917,814.7009
12,659.3995,-649.1371,407.0484,353.8652,814.7009
13,659.3995,-876.1848,371.1234,405.3209,814.7009
14,659.3995,-183.9574,447.1226,269.1267,814.7009
15,659.3995,-785.9516,293.2377,470.5192,814.7009
16,644.2648,-26.55857,469.1183,227.1241,814.7009
17,644.2648,-547.9664,365.6895,332.5805,814.7009
18,659.3995,-18.90632,547.7125,156.0441,814.7009
19,659.3995,-74.10293,481.1933,223.4046,814.7009
20,659.3995,-853.7801,363.0059,346.52,814.7009
21,654.2653,-608.9442,389.0452,407.4024,814.7009
22,704.5941,-832.6777,371.1928,383.2435,814.7009
23,704.5941,-234.1286,453.0357,254.9157,814.7009
24,659.3995,-747.1702,492.876,291.7912,814.7009
25,659.3995,-658.8563,408.7647,334.5427,814.7009
26,659.3995,-647.3631,331.3633,388.8646,814.7009
27,659.3995,-62.99039,452.8669,225.3451,814.7009
28,654.105,-647.4374,326.5506,390.7753,814.7009
29,659.3995,-717.9574,351.0142,448.3748,814.7009
30,659.3995,-726.4881,420.3762,363.3419,814.7009
31,659.3995,-243.6413,453.582,232.1802,814.7009
32,659.3995,-797.3413,318.0513,360.3167,814.7009
33,659.3995,-560.4741,365.4688,336.6454,814.7009
34,659.4001,-588.2097,460.6812,310.8937,814.7009
35,659.3995,-2000.275,199.8525,664.5074,814.7009
36,659.9962,-75.27414,465.2623,254.6969,814.7009
37,664.7028,-451.8708,467.0118,293.5991,814.7009
38,623.0477,-610.4048,385.1349,295.6183,814.7009
39,671.0576,-592.6718,297.9572,431.8969,814.7009
40,671.0576,-51.4333,520.2457,194.2188,814.7009
41,671.0576,-690.552,449.8557,309.5947,814.7009
42,627.2807,-763.4468,335.9021,386.794,814.7009
43,624.4382,-645.6174,347.6129,309.971,814.7009
44,630.5118,-660.3146,381.0878,377.5342,814.7009
45,644.3848,-577.0997,363.7899,350.8819,814.7009
46,671.0576,-2103.24,375.9548,592.3763,814.7009
47,645.6654,-625.0963,374.5983,306.6844,814.7009
48,671.0576,-501.6326,520.6957,252.336,814.7009
49,626.4067,-631.9639,375.6911,322.3722,814.7009
50,671.0576,-618.7292,395.6089,391.0514,814.7009
51,660.2618,-660.5265,407.9786,337.8683,814.7009
52,660.4047,-605.868,445.6031,306.6151,814.7009
53,800.1022,-625.5583,438.2189,322.5352,814.7009
54,800.3458,-577.088,447.5392,329.8031,814.7009
55,660.4047,-516.921,471.9419,255.5888,814.7009
56,660.4047,-571.9464,444.0567,329.3305,814.7009
57,660.4047,-2596.081,201.3688,785.6266,814.7009
58,660.4047,-214.1312,506.1176,216.3067,814.7009
59,699.5844,22.87282,546.2726,158.8211,814.7009
60,650.9748,-1029.137,352.3546,415.4919,814.7009
61,637.819,-608.1729,376.064,333.7235,814.7009
62,660.4047,-750.9317,442.6319,304.4859,814.7009
63,660.4047,-540.9535,498.3977,266.1925,814.7009
64,660.4047,-651.275,482.3506,291.2952,814.7009
65,660.4047,-636.0215,429.1466,318.6989,814.7009
66,660.4047,-196.3072,452.7108,258.1293,814.7009
67,660.4047,-549.502,437.1364,295.8964,814.7009
68,660.4047,-661.6836,394.4951,304.809,814.7009
69,660.4047,-88.98569,395.9535,268.0472,814.7009
70,636.8174,-527.8,403.2555,291.3515,814.7009
71,660.4047,-28.87052,477.7754,234.2571,814.7009
72,620.8713,-511.6552,353.4891,333.9305,814.7009
73,628.1785,-599.5663,352.1161,374.2686,814.7009
74,660.4047,-985.1196,422.1082,357.0535,814.7009

