Generation,PopBest,PopWorst,PopAvg,StdDeviation,BestOverall
0,3355.485,-2809.513,-150.1434,969.3055,3355.485
1,6462.982,-67.12328,932.7559,1969.321,6462.982
2,7493.401,-166.9388,4295.5,2697.873,7493.401
3,33878.39,2085.19,6630.411,5891.543,33878.39
4,33878.39,80.41288,10252.53,10505.85,33878.39
5,161475.1,-7.934217,24784.69,31598.05,161475.1
6,96874.32,9.75269,17517.19,22055.43,161475.1
7,515684.8,-194.818,62571.49,117459,515684.8
8,515684.8,3718.574,65315.48,114655.9,515684.8
9,515684.8,36.21917,102658,165576.7,515684.8
10,2504971,71.45842,174301,494845.2,2504971
11,2552767,64.77343,1098136,1175587,2552767
12,2577528,-69.26441,1363231,1154776,2577528
13,2587828,-260.3738,1718454,1055969,2587828
14,2637184,-213.5854,1727325,1128587,2637184
15,2636031,-212.9348,1688634,1192335,2637184
16,2643959,-9.019692,1479001,1215455,2643959
17,2661219,-177.6251,1114634,1157151,2661219
18,2667899,688.5422,1643652,1089438,2667899
19,2667899,101.2257,2332349,846663.4,2667899
20,2667899,37.33514,1739846,1223234,2667899
21,2667899,62.09185,2090004,1010391,2667899
22,2766048,-272.5898,1665857,1228791,2766048
23,2768098,89.16877,1505731,1225208,2768098
24,2764228,-158,1376318,1321651,2768098
25,2777140,3769.725,1218770,1212834,2777140
26,2779929,-38.62189,1406240,1251884,2779929
27,2779929,-113.9168,1238021,1246520,2779929
28,2777140,94.98114,781454.2,1086145,2779929
29,2777140,98.74232,1263406,1287690,2779929
30,2781772,1458.621,1579743,1261451,2781772
31,2780638,-5.355887,860284.9,1215923,2781772
32,2781839,-220.9889,1489318,1272261,2781839
33,2781839,-235.6648,1027451,1251646,2781839
34,2781839,98.87596,1222183,1328052,2781839
35,2777009,-187.7971,1058981,1269701,2781839
36,2781772,98.75317,1007781,1229532,2781839
37,2783460,23.38131,1046091,1272031,2783460
38,2781839,123.5829,969860,1263388,2783460
39,2781772,1438.435,819634.4,1208606,2783460
40,2781772,117.5829,876775.7,1201013,2783460
41,2783460,-80.51342,973911.4,1257599,2783460
42,2781839,8.811134,1170799,1323213,2783460
43,2786124,44.96241,1077201,1310440,2786124
44,2781839,42.60649,1459495,1282855,2786124
45,2781839,3550.45,858175.4,1221292,2786124
46,2786124,-206.2224,1137311,1328941,2786124
47,2781839,-40.89276,942784.6,1212999,2786124
48,2781839,-306.626,1053304,1277031,2786124
49,2783460,100.7601,981350.8,1286428,2786124
50,2783460,-26.64349,1079877,1305229,2786124
51,2781839,-285.6008,1036129,1277273,2786124
52,2783460,110.4511,955242,1265874,2786124
53,2786124,-21.18789,1137816,1332793,2786124
54,2783460,-65.77672,1050451,1314494,2786124
55,2786610,-266.5726,1099967,1267075,2786610
56,2783460,-20.81884,1325365,1282936,2786610
57,2782628,33.46333,1293311,1350253,2786610
58,2782628,-20.89987,1301964,1261014,2786610
59,2782628,-20.42296,1441079,1303294,2786610
60,2782628,-259.7166,1026386,1235672,2786610
61,2782628,3826.04,1807071,1180125,2786610
62,2782628,36.71456,1241460,1252539,2786610
63,2782628,9.324072,1284194,1213628,2786610
64,2782628,87.36511,1734981,1177116,2786610
65,2780763,-115.4508,1371835,1279104,2786610
66,2782628,4674.028,1416859,1216153,2786610
67,2782628,105.8875,1518071,1214272,2786610
68,2782628,-20.80984,1087305,1271110,2786610
69,2782628,-74.23398,1249291,1295227,2786610
70,2782628,27.23333,1376295,1337164,2786610
71,2780763,-156.9535,1901082,1103082,2786610
72,2782628,1913.765,1191647,1328971,2786610
73,2781978,-133.3992,1512128,1335718,2786610
74,2781094,-296.2584,975927.6,1246472,2786610

