Generation,PopBest,PopWorst,PopAvg,StdDeviation,BestOverall
0,412.3937,-2211.447,-91.17662,455.788,412.3937
1,4124.128,21.55709,385.9151,775.6267,4124.128
2,4308.742,-233.629,963.2913,1518.252,4308.742
3,4167.714,43.66319,790.7427,1293.833,4308.742
4,9204.746,-417.4251,1902.813,2130.544,9204.746
5,6255.904,63.77534,1536.397,1867.568,9204.746
6,9185.646,-50.71447,3085.296,2511.942,9204.746
7,9282.446,-326.9364,3334.502,2914.356,9282.446
8,10201.68,111.1791,3926.855,2617.782,10201.68
9,12415.28,38.17773,4633.599,3592.156,12415.28
10,16410.65,-30.31434,4135.656,3951.473,16410.65
11,16410.65,-16.04908,5050.108,3912.137,16410.65
12,40890.77,-404.9593,6630.35,8200.792,40890.77
13,168260.9,-441.0999,15048.77,32113.94,168260.9
14,54873.26,-324.7631,12018.59,12567.83,168260.9
15,54873.26,-12.40931,14134.26,16352.87,168260.9
16,54873.26,-110.2306,21831.77,19230.41,168260.9
17,54873.26,-291.311,10208.86,10361.32,168260.9
18,168546.6,-60.23604,28746.15,43811.42,168546.6
19,168070.4,-21.30872,39927.65,45195.36,168546.6
20,54873.26,-42.38394,10876.89,15328.32,168546.6
21,154021.4,-292.323,22148.98,34129.35,168546.6
22,179251.2,-36.45662,14526.76,33988.33,179251.2
23,1059703,61.46004,69733.81,208413,1059703
24,166849.3,58.19506,37909.06,49387.68,1059703
25,179687.2,27.21359,41573.38,60827.75,1059703
26,1689430,61.06033,261821.2,475179.1,1689430
27,2764800,60.48232,319748.6,705649.6,2764800
28,2744896,102.1656,403006,719896.4,2764800
29,2756954,128.4263,655732.4,823229.1,2764800
30,2761593,106.0665,1542243,1118414,2764800
31,2760556,85.57755,985562.3,1158052,2764800
32,2760556,103.8796,724828.1,857730.5,2764800
33,2756954,83.1962,1033406,1069479,2764800
34,2760556,69.09805,1405929,1064136,2764800
35,2760556,98.45967,822127.4,996782.7,2764800
36,2766884,53.24895,1272411,1127002,2766884
37,2760556,76.62839,634335.9,930984.3,2766884
38,2760556,-210.6171,1065995,1097303,2766884
39,2761593,-1.937261,889679.8,999521.5,2766884
40,2760556,92.41531,1067064,1082876,2766884
41,2760556,110.8455,1191911,1127518,2766884
42,2760556,102.5286,1232817,1157411,2766884
43,2760556,103.2337,993703.4,1126748,2766884
44,2760556,102.5064,1293459,1139940,2766884
45,2760556,98.55773,999739.1,1131758,2766884
46,2760556,86.85191,1168307,1129297,2766884
47,2760556,-44.33216,883107.8,1071666,2766884
48,2760556,46.71037,1242218,1088494,2766884
49,2760556,-53.0378,1025975,1089957,2766884
50,2760556,-36.48765,1181020,1129742,2766884
51,2768734,83.35527,1019449,1087811,2768734
52,2768734,102.2632,994988.6,1180585,2768734
53,2768734,110.7489,771600.4,1091473,2768734
54,2768734,60.26145,958155.8,1195236,2768734
55,2772625,104.4074,816583.9,1080278,2772625
56,2772625,97.22316,759341.8,1085111,2772625
57,2772625,47.61538,1166564,1264794,2772625
58,2772625,50.25667,1294699,1213768,2772625
59,2772625,100.2426,1517919,1220678,2772625
60,2772625,105.9986,1198049,1212188,2772625
61,2772625,117.3345,1571371,1190131,2772625
62,2772625,85.68665,952352.9,1078094,2772625
63,2772625,112.9173,1096204,1120153,2772625
64,2772625,88.25334,1471409,1188501,2772625
65,2772625,104.2432,1167947,1215290,2772625
66,2772625,106.9756,1135780,1231889,2772625
67,2772625,117.3345,1197686,1200902,2772625
68,2772625,53.05794,1054092,1277422,2772625
69,2772625,32.47206,792617.1,1073002,2772625
70,2772625,101.1721,1141483,1220231,2772625
71,2772625,113.1896,1681832,1150857,2772625
72,2772625,53.20741,1107270,1241867,2772625
73,2772625,52.64243,1355672,1266675,2772625
74,2772625,56.24017,1061601,1244298,2772625

