Generation,PopBest,PopWorst,PopAvg,StdDeviation,BestOverall
0,412.3937,-2211.447,-90.6976,455.6782,412.3937
1,4167.714,21.55709,390.8174,783.577,4167.714
2,4370.528,39.05013,956.1774,1515.87,4370.528
3,4167.714,-40.11806,788.2564,1302.578,4370.528
4,9185.65,-417.4251,2015.129,2109.478,9185.65
5,6225.384,57.07,1524.165,1860.248,9185.65
6,9185.646,-50.71447,2691.461,2439.01,9185.65
7,9156.814,-344.7332,2843.087,2764.244,9185.65
8,10201.68,204.6915,4402.789,2660.705,10201.68
9,12363.17,43.22572,4095.503,3237.337,12363.17
10,12945.96,-30.31434,4422.587,3741.708,12945.96
11,10201.68,-8.393083,4239.954,2830.336,12945.96
12,10152.22,-404.9593,4006.248,3445.279,12945.96
13,10857.45,-426.0744,4494.851,3426.06,12945.96
14,10626.76,-296.2179,4369.439,2817.895,12945.96
15,13841.13,-298.2727,5424.552,3902.452,13841.13
16,30603.24,-91.73093,8168.455,5917.954,30603.24
17,30603.24,-464.3001,6629.534,7870.917,30603.24
18,30603.24,-248.0839,9369.162,7947.626,30603.24
19,30603.24,-21.44782,10848.78,8798.112,30603.24
20,30603.24,-37.26799,7565.583,9422.291,30603.24
21,30603.24,-254.5151,9943.423,9197.688,30603.24
22,32729.73,-361.9605,6409.405,8091.807,32729.73
23,32644.89,-16.26099,7595.232,6239.82,32729.73
24,11094.9,-50.06189,5353.261,3373.288,32729.73
25,30603.24,-309.9525,5407.073,6650.218,32729.73
26,43472.89,-49.51641,6192.777,8643.507,43472.89
27,42770.65,-355.8148,11213.13,13215.97,43472.89
28,99291.26,-76.12325,17995.8,21721.26,99291.26
29,99201.13,-14.87513,26876.89,22159.5,99291.26
30,99201.13,-6.102071,28371.07,27353.66,99291.26
31,174211.7,32.04861,31653.14,37637.57,174211.7
32,73402.14,-292.3327,20546.43,20820.32,174211.7
33,73402.14,-380.638,17630.09,21804.73,174211.7
34,73402.14,-76.12146,26195.24,27989.3,174211.7
35,73402.14,-347.4244,24617.62,31011.18,174211.7
36,73402.14,-26.54086,23309.42,26998.83,174211.7
37,88350.47,-352.0277,27049.63,31336.86,174211.7
38,73402.14,33.97723,25438.03,28586.86,174211.7
39,2008717,-35.19781,95137.58,391287.3,2008717
40,73402.14,153.9591,20679.47,23987.52,2008717
41,73402.14,-25.50992,26027.4,28371.32,2008717
42,73402.14,-373.6173,21782.56,27006.78,2008717
43,73303.41,-59.36998,16449.04,22443.5,2008717
44,73210.27,-416.2516,20721.08,25544.01,2008717
45,93261.19,-20.65763,22517.78,26751.01,2008717
46,88563.28,-66.65505,22968.04,26129.38,2008717
47,88350.47,-411.2121,20989.92,28771.81,2008717
48,73402.14,207.5717,28876.72,28314.49,2008717
49,88350.47,-363.7383,23685,28296.42,2008717
50,88563.28,83.09519,30123.88,29820.41,2008717
51,73402.14,32.33846,21633.79,24499.99,2008717
52,73402.14,-153.9009,19686.21,22970.17,2008717
53,73548.13,-539.7672,25534.2,28718.6,2008717
54,73548.13,-117.9327,25505.34,29136.85,2008717
55,73303.41,37.62284,19689.52,21847.75,2008717
56,88350.47,-474.1602,27455.45,30108.77,2008717
57,88563.28,-416.2899,24654.06,32136.17,2008717
58,78596.18,-47.54664,22960.45,26808.06,2008717
59,73303.43,-70.24945,20161.88,25437.6,2008717
60,73402.23,-447.5652,24128.99,25389.91,2008717
61,73402.23,-52.57183,27542.85,29483.72,2008717
62,73210.27,58.98534,18059.92,22994.81,2008717
63,73402.23,32.43213,19105.93,22278.29,2008717
64,73402.23,-265.1134,24213.52,26401.88,2008717
65,73402.23,-56.09058,29242.38,28126.29,2008717
66,73402.23,-14.06443,23849.12,26617.31,2008717
67,88563.28,-291.4585,28661.15,29785.83,2008717
68,88350.47,-204.4808,22402.72,29895.78,2008717
69,73210.27,-387.3883,19927.86,23828.25,2008717
70,73402.23,71.22118,26361.2,26647.13,2008717
71,73210.27,-314.8184,28077.78,29604.73,2008717
72,73303.43,-76.95197,19988.96,27941.71,2008717
73,73303.43,-75.24744,23416.64,28877.34,2008717
74,88472.84,-76.95308,26994.41,31371.78,2008717

