Generation,PopBest,PopAvg,BestOverall
0,1583.75,85.98808,1583.75
1,1919.308,202.723,1919.308
2,1579.163,127.7939,1919.308
3,599.724,31.62224,1919.308
4,636.8494,35.69616,1919.308
5,636.8494,87.84336,1919.308
6,636.8494,-43.14376,1919.308
7,2209.365,156.6883,2209.365
8,2256.069,186.6042,2256.069
9,937.548,241.2739,2256.069
10,843.6687,193.6423,2256.069
11,11753.8,793.8207,11753.8
12,993.1096,376.7529,11753.8
13,1257.749,370.6582,11753.8
14,1257.749,395.0788,11753.8
15,1678.462,451.522,11753.8
16,1678.462,536.055,11753.8
17,1558.145,163.9987,11753.8
18,2145.692,451.0625,11753.8
19,2116.561,476.9978,11753.8
20,2107.343,406.0904,11753.8
21,2093.014,517.1243,11753.8
22,5458.165,687.9446,11753.8
23,4369.242,717.5814,11753.8
24,2163.48,445.4756,11753.8

