Generation,PopBest,PopAvg,BestOverall
0,-133.7908,-133.7908,-133.7908
1,51.48259,51.48259,51.48259
2,214.7599,214.7599,214.7599
3,128.0871,128.0871,214.7599
4,-14.15598,-14.15598,214.7599
5,111.0747,111.0747,214.7599
6,20.30732,20.30732,214.7599
7,-322.594,-322.594,214.7599
8,23.57042,23.57042,214.7599
9,-166.6411,-166.6411,214.7599
10,57.89266,57.89266,214.7599
11,29.653,29.653,214.7599
12,1402.958,1402.958,1402.958
13,1961.223,1961.223,1961.223
14,82.56673,82.56673,1961.223
15,44.31388,44.31388,1961.223
16,123.2844,123.2844,1961.223
17,610.3176,610.3176,1961.223
18,534.0942,534.0942,1961.223
19,126.1763,126.1763,1961.223
20,184.6352,184.6352,1961.223
21,244.6644,244.6644,1961.223
22,95.54343,95.54343,1961.223
23,596.2942,596.2942,1961.223
24,-98.42538,-98.42538,1961.223

