Generation,PopBest,PopAvg,BestOverall
0,12.82139,12.82139,12.82139
1,37.189,37.189,37.189
2,42.72472,42.72472,42.72472
3,31.87085,31.87085,42.72472
4,85.98116,85.98116,85.98116
5,-29.42748,-29.42748,85.98116
6,60.59509,60.59509,85.98116
7,-138.0094,-138.0094,85.98116
8,-53.1294,-53.1294,85.98116
9,1991.968,1991.968,1991.968
10,-28.60751,-28.60751,1991.968
11,133.5757,133.5757,1991.968
12,410.3189,410.3189,1991.968
13,-29.04996,-29.04996,1991.968
14,-58.0664,-58.0664,1991.968
15,-94.15068,-94.15068,1991.968
16,57.88294,57.88294,1991.968
17,-20.05958,-20.05958,1991.968
18,93.98499,93.98499,1991.968
19,-41.70944,-41.70944,1991.968
20,-29.36019,-29.36019,1991.968
21,-101.7952,-101.7952,1991.968
22,-30.81919,-30.81919,1991.968
23,-37.3544,-37.3544,1991.968
24,2068.659,2068.659,2068.659

