Generation,PopBest,PopAvg,BestOverall
0,39.89194,-77.80931,39.89194
1,247.4485,45.64481,247.4485
2,166.036,-198.7009,247.4485
3,677.9712,63.04605,677.9712
4,788.6002,160.6954,788.6002
5,1024.905,88.11736,1024.905
6,1092.51,152.8726,1092.51
7,316.4915,-14.06564,1092.51
8,686.333,66.44806,1092.51
9,316.9667,-147.1449,1092.51
10,93.24515,-14.69503,1092.51
11,711.1978,56.83246,1092.51
12,143.7325,-10.65453,1092.51
13,67.07491,-168.4024,1092.51
14,160.1104,-70.04945,1092.51
15,679.1488,55.11935,1092.51
16,127.6164,3.807652,1092.51
17,107.2113,-56.72149,1092.51
18,1042.361,89.94212,1092.51
19,1595.02,145.5852,1595.02
20,1166.197,203.4086,1595.02
21,2092.12,88.21955,2092.12
22,1917.255,205.3818,2092.12
23,4276.53,629.5953,4276.53
24,651.1674,-12.88257,4276.53

