Generation,PopBest,PopAvg,BestOverall
0,774.6185,31.25854,774.6185
1,773.5822,112.5868,774.6185
2,799.9772,111.6235,799.9772
3,863.4736,249.1733,863.4736
4,838.3242,69.13691,863.4736
5,1021.059,181.476,1021.059
6,2305.921,338.6804,2305.921
7,984.532,152.6024,2305.921
8,1637996,68534.96,1637996
9,994.7571,367.9774,1637996
10,1430.589,519.1558,1637996
11,996.2218,401.2254,1637996
12,991.6704,421.5757,1637996
13,1210.38,339.267,1637996
14,2136.27,580.5889,1637996
15,89513.64,4156.444,1637996
16,992.0466,395.3978,1637996
17,945.2852,250.5364,1637996
18,1002.72,341.1907,1637996
19,2183.146,336.6945,1637996
20,1093.541,461.4718,1637996
21,1105.334,462.1004,1637996
22,1098.838,462.7708,1637996
23,1008.265,483.4923,1637996
24,18409.89,1164.231,1637996

