Generation,PopBest,PopAvg,BestOverall
0,75.64445,75.64445,75.64445
1,13.88254,13.88254,75.64445
2,32.61737,32.61737,75.64445
3,143.1812,143.1812,143.1812
4,32.26939,32.26939,143.1812
5,139.4954,139.4954,143.1812
6,47.27593,47.27593,143.1812
7,-176.9676,-176.9676,143.1812
8,19.04593,19.04593,143.1812
9,-256.6687,-256.6687,143.1812
10,119.8638,119.8638,143.1812
11,-164.8275,-164.8275,143.1812
12,-238.657,-238.657,143.1812
13,7.929273,7.929273,143.1812
14,-108.0997,-108.0997,143.1812
15,154.9488,154.9488,154.9488
16,-105.0397,-105.0397,154.9488
17,599.4871,599.4871,599.4871
18,528.3596,528.3596,599.4871
19,-185.5882,-185.5882,599.4871
20,-239.8792,-239.8792,599.4871
21,-279.5426,-279.5426,599.4871
22,40.23422,40.23422,599.4871
23,-83.79993,-83.79993,599.4871
24,215.5787,215.5787,599.4871

