Generation,PopBest,PopAvg,BestOverall
0,951.0131,0.6244006,951.0131
1,3348.557,529.8686,3348.557
2,3447.992,1714.031,3447.992
3,3540.343,1559.472,3540.343
4,3623.809,1636.428,3623.809
5,3623.809,1708.635,3623.809
6,3447.992,1772.271,3623.809
7,8789.491,2022.858,8789.491
8,9040.843,4349.802,9040.843
9,9342.378,4429.56,9342.378
10,9342.378,4395.78,9342.378
11,9342.378,4347.828,9342.378
12,9342.378,4401.529,9342.378
13,21031.3,5377.487,21031.3
14,73194.15,11675.44,73194.15
15,21746.95,10170.05,73194.15
16,21746.95,9560.197,73194.15
17,21746.95,9719.392,73194.15
18,21746.95,9784.208,73194.15
19,21334.82,9429.688,73194.15
20,21746.95,9511.878,73194.15
21,77252.91,13686.79,77252.91
22,77153.72,14283.71,77252.91
23,21334.82,9710.292,77252.91
24,77252.91,11540.98,77252.91

