Generation,PopBest,PopAvg,BestOverall
0,675.9231,105.9217,675.9231
1,26.02502,-212.627,675.9231
2,43.2977,-22.98544,675.9231
3,149.1742,63.40206,675.9231
4,57.70691,-258.3351,675.9231
5,1736.793,441.9148,1736.793
6,137.6513,-101.2371,1736.793
7,301.8674,27.15427,1736.793
8,34.84639,-45.58481,1736.793
9,286.4792,68.16513,1736.793
10,96.16041,71.06786,1736.793
11,117.6732,-46.77897,1736.793
12,1402.569,495.2187,1736.793
13,678.9387,183.3281,1736.793
14,547.7425,117.5248,1736.793
15,19.87582,-132.6204,1736.793
16,172.3563,-27.18779,1736.793
17,93.38267,-77.33965,1736.793
18,153.2073,-10.42599,1736.793
19,117.1727,15.63685,1736.793
20,316.1805,77.12653,1736.793
21,157.3227,26.66551,1736.793
22,1097.766,295.4063,1736.793
23,100.5563,15.22429,1736.793
24,129.6875,4.443726,1736.793

