Generation,PopBest,PopWorst,PopAvg,StdDeviation,BestOverall
0,4666.589,-997.0577,153.5738,1024.854,4666.589
1,4716.334,2.079497,991.2352,1685.178,4716.334
2,4879.227,6.460589,1584.511,2169.285,4879.227
3,5802.662,-1713.336,1692.433,2438.151,5802.662
4,5859.666,6.495353,3189.134,2640.225,5859.666
5,5839.684,-1089.599,2024.274,2782.103,5859.666
6,5859.664,-121.0464,1916.397,2658.362,5859.666
7,6154.243,6.495353,1882.759,2735.902,6154.243
8,6269.236,2.510551,4260.803,2668.858,6269.236
9,6739.135,6.982659,5031.103,2307.864,6739.135
10,7218.215,6.352777,4244.549,2913.649,7218.215
11,7262.857,6.352777,4496.807,3075.541,7262.857
12,7315.308,1.643047,3750.562,3585.116,7315.308
13,7330.9,0.1705148,3846.641,3467.051,7330.9
14,7568.709,-0.618365,4267.189,3531.887,7568.709
15,7568.709,-523.1498,3853.982,3738.727,7568.709
16,8255.231,6.35458,4672.263,3515.935,8255.231
17,8245.665,0.308017,4109.151,3731.319,8255.231
18,8445.135,2.082868,7634.053,2251.53,8445.135
19,8506.438,1.846622,7218.933,2728.116,8506.438
20,8543.557,-611.1841,5734.875,3980.041,8543.557
21,8543.557,-14.07203,6426.064,3551.243,8543.557
22,8669.803,-8.83862,5657.509,3910.865,8669.803
23,8669.803,1.898286,6750.241,3369.278,8669.803
24,8659.711,-20.27474,6719.252,3142.267,8669.803
25,8506.438,-59.07615,5337.192,3899.129,8669.803
26,8659.711,-468.7342,5852.287,3709.612,8669.803
27,8506.438,-13.00147,5200.984,3890.529,8669.803
28,1544841,-3.999521,66999.9,301686.8,1544841
29,1547956,2.714183,375848.6,658061.1,1547956
30,1547977,2.67643,1297661,565577.8,1547977
31,1565490,6.360424,1051687,718381.1,1565490
32,1568062,6.359928,1180341,662569.8,1568062
33,1568789,-449.3845,1003027,752272.7,1568789
34,1568789,2.804419,1394815,440609.1,1568789
35,1567828,-42.42452,1062882,729216.3,1568789
36,1568062,-22.93031,1190362,668333.7,1568789
37,1567828,-34.35161,1128070,703024.8,1568789
38,1632565,2.094354,1242000,632004.6,1632565
39,1632199,-58.29403,635279.4,771792.4,1632565
40,1632825,1.846622,1158542,719585.1,1632825
41,1632660,6.361539,1237223,695379.3,1632825
42,1633801,-427.1368,1175812,730111.1,1633801
43,1632660,2.307225,984352.3,792794.1,1633801
44,1633801,2.089517,1305748,651392.4,1633801
45,1639695,2.505623,1281425,645628.2,1639695
46,1639695,6.361538,1303398,651762.1,1639695
47,1642568,2.098461,727743.8,808174.7,1642568
48,1642568,91.78983,1376913,596838.4,1642568
49,1642568,1.693412,1049426,786408.3,1642568
50,1642568,2.0337,1246520,696510.5,1642568
51,1641603,2.315906,998960.1,787652.8,1642568
52,1641603,2.469938,1425391,527355.9,1642568
53,1641140,6.352666,985728.6,800374.6,1642568
54,1642652,2.824369,1181895,734671.9,1642652
55,1640788,-137.0146,992261.2,784724.1,1642652
56,1641965,-107.6009,1181335,734366.7,1642652
57,1642912,2.676445,987115.5,800398.5,1642912
58,1642912,2.26258,1117209,763819.3,1642912
59,1643243,6.420313,1252247,692549.5,1643243
60,1643243,1.177387,986582.9,802023.8,1643243
61,1643243,-183.3967,1313828,650980.8,1643243
62,1642925,-1352.763,1116559,765554.3,1643243
63,1642925,6.673578,1304888,649980.1,1643243
64,1644485,2.315872,1379810,596193.6,1644485
65,1644193,-158.0383,1115020,763923.8,1644485
66,1643471,2.715518,1304493,649781.4,1644485
67,1644421,6.36154,1377590,597647.3,1644485
68,1643471,-15.20133,988509.9,799605.2,1644485
69,1644421,6.361829,1050127,785225.1,1644485
70,1644607,2.113533,1310322,653811.6,1644607
71,1644093,3751.304,1445836,532009.3,1644607
72,1643660,1.434484,1051696,781868.6,1644607
73,1644093,1.693412,1117831,756839.7,1644607
74,1644093,6.475892,1123476,753512.9,1644607

