Generation,PopBest,PopAvg,BestOverall
0,688.7621,-18.75463,688.7621
1,1180.386,285.1458,1180.386
2,1294.512,610.409,1294.512
3,1315.787,669.3942,1315.787
4,7628.671,963.4863,7628.671
5,7894.708,4034.737,7894.708
6,7894.708,4168.244,7894.708
7,7702.613,4108.699,7894.708
8,7706.042,4160.508,7894.708
9,7894.708,4143.497,7894.708
10,7888.317,4192.248,7894.708
11,7888.317,4143.663,7894.708
12,7888.317,4210.002,7894.708
13,7894.708,4272.413,7894.708
14,7894.708,4125.351,7894.708
15,7894.708,4094.413,7894.708
16,7894.708,4205.43,7894.708
17,7888.317,4169.372,7894.708
18,7894.708,4344.383,7894.708
19,7894.708,4175.089,7894.708
20,7874.678,4187.997,7894.708
21,7888.317,4145.476,7894.708
22,7888.317,4091.028,7894.708
23,7888.317,4080.571,7894.708
24,7888.317,4109.937,7894.708

