Generation,PopBest,PopAvg,BestOverall
0,-39.01027,-39.01027,-39.01027
1,1138.589,1138.589,1138.589
2,-104.6248,-104.6248,1138.589
3,94.33462,94.33462,1138.589
4,578.8861,578.8861,1138.589
5,-83.84752,-83.84752,1138.589
6,14.15507,14.15507,1138.589
7,-225.1863,-225.1863,1138.589
8,-171.4664,-171.4664,1138.589
9,317.9676,317.9676,1138.589
10,36.39923,36.39923,1138.589
11,-86.78117,-86.78117,1138.589
12,122.539,122.539,1138.589
13,-130.5517,-130.5517,1138.589
14,76.75175,76.75175,1138.589
15,-140.5709,-140.5709,1138.589
16,-101.7756,-101.7756,1138.589
17,-106.2471,-106.2471,1138.589
18,-161.2772,-161.2772,1138.589
19,-116.304,-116.304,1138.589
20,-148.0119,-148.0119,1138.589
21,93.44897,93.44897,1138.589
22,111.7458,111.7458,1138.589
23,-108.6156,-108.6156,1138.589
24,113.8906,113.8906,1138.589
25,-3511.137,-3511.137,1138.589
26,-137.0595,-137.0595,1138.589
27,-161.6317,-161.6317,1138.589
28,-18.6897,-18.6897,1138.589
29,-145.6023,-145.6023,1138.589
30,79.36324,79.36324,1138.589
31,-111.1558,-111.1558,1138.589
32,-230.2982,-230.2982,1138.589
33,16.26109,16.26109,1138.589
34,-131.9607,-131.9607,1138.589
35,-76.04533,-76.04533,1138.589
36,-125.2076,-125.2076,1138.589
37,-152.339,-152.339,1138.589
38,157.8003,157.8003,1138.589
39,100.7261,100.7261,1138.589
40,-178.1731,-178.1731,1138.589
41,-213.3125,-213.3125,1138.589
42,-129.3071,-129.3071,1138.589
43,-202.0144,-202.0144,1138.589
44,-88.52938,-88.52938,1138.589
45,-150.5931,-150.5931,1138.589
46,-160.9474,-160.9474,1138.589
47,-174.1827,-174.1827,1138.589
48,-108.5847,-108.5847,1138.589
49,65.53339,65.53339,1138.589
50,-75.46298,-75.46298,1138.589
51,-437.8419,-437.8419,1138.589
52,2371.567,2371.567,2371.567
53,-95.57744,-95.57744,2371.567
54,-80.45469,-80.45469,2371.567
55,-123.8773,-123.8773,2371.567
56,325.8635,325.8635,2371.567
57,-208.1052,-208.1052,2371.567
58,422.1685,422.1685,2371.567
59,-105.1127,-105.1127,2371.567
60,39.73386,39.73386,2371.567
61,775.8406,775.8406,2371.567
62,178.7928,178.7928,2371.567
63,102.8807,102.8807,2371.567
64,-376.2986,-376.2986,2371.567
65,-141.9054,-141.9054,2371.567
66,-74.01113,-74.01113,2371.567
67,41.66855,41.66855,2371.567
68,31.75403,31.75403,2371.567
69,530.2909,530.2909,2371.567
70,193.3779,193.3779,2371.567
71,32.60942,32.60942,2371.567
72,-101.1902,-101.1902,2371.567
73,-274.894,-274.894,2371.567
74,23.05699,23.05699,2371.567
75,-156.9086,-156.9086,2371.567
76,44.35846,44.35846,2371.567
77,31.78783,31.78783,2371.567
78,-236.0365,-236.0365,2371.567
79,-141.0396,-141.0396,2371.567
80,-69.72768,-69.72768,2371.567
81,41.14978,41.14978,2371.567
82,-69.98486,-69.98486,2371.567
83,84370.02,84370.02,84370.02
84,604.6336,604.6336,84370.02
85,626.5681,626.5681,84370.02
86,-106.6982,-106.6982,84370.02
87,12.0869,12.0869,84370.02
88,-173.452,-173.452,84370.02
89,-333.1966,-333.1966,84370.02
90,-84.33945,-84.33945,84370.02
91,-141.9367,-141.9367,84370.02
92,-105.6257,-105.6257,84370.02
93,31.64159,31.64159,84370.02
94,-158.965,-158.965,84370.02
95,-180.5981,-180.5981,84370.02
96,43.0843,43.0843,84370.02
97,-101.1355,-101.1355,84370.02
98,-806.8075,-806.8075,84370.02
99,34.6517,34.6517,84370.02

