Generation,PopBest,PopWorst,PopAvg,StdDeviation,BestOverall
0,1035.203,-726.639,-63.31799,312.0692,1035.203
1,1093.913,-394.9243,346.035,512.2916,1093.913
2,1214.325,6.847791,890.8285,431.7207,1214.325
3,1346.112,6.894695,971.4713,403.9629,1346.112
4,1913.531,6.896626,1145.199,387.0282,1913.531
5,1913.531,40.21788,1264.517,472.8925,1913.531
6,1913.531,-38.53957,1194.346,836.2349,1913.531
7,1924.429,1.738563,1347.358,757.4857,1924.429
8,1937.081,-60.25967,1772.565,382.734,1937.081
9,2038.86,7.113529,1666.661,519.9207,2038.86
10,2016.959,2.077977,1483.641,732.077,2038.86
11,2038.86,-16.6739,1541.184,677.6158,2038.86
12,2038.86,6.672877,1291.627,786.2184,2038.86
13,2016.959,6.659634,1332.997,773.1375,2038.86
14,2038.86,2.079496,1403.433,763.2556,2038.86
15,2038.86,1.655907,1409.221,748.0953,2038.86
16,1937.081,-3.734513,1479.234,666.4149,2038.86
17,1937.081,-197.0504,1208.205,828.1749,2038.86
18,1937.081,-232.7269,1512.496,658.241,2038.86
19,1873.695,0.252984,1486.24,652.3636,2038.86
20,1904.06,-29.94311,1224.94,819.6536,2038.86
21,1904.06,-6.159594,1378.063,743.717,2038.86
22,1904.06,-160.9873,1328.142,663.1069,2038.86
23,1904.06,6.361742,1494.665,627.7217,2038.86
24,1873.695,1.875018,1333.525,757.5593,2038.86
25,1873.695,6.353641,1306.943,802.8997,2038.86
26,1849.889,-17.40688,1359.517,716.5417,2038.86
27,1873.695,-192.5644,1256.457,788.1215,2038.86
28,1873.695,7.020786,1292.681,750.0996,2038.86
29,1873.695,-22.60246,1488.636,638.351,2038.86
30,2040.964,1.875018,1643.292,493.6544,2040.964
31,2163.426,-1044.479,1111.918,943.6376,2163.426
32,2163.426,1.244305,1410.935,804.9037,2163.426
33,2123.689,-31.24805,1145.658,1007.227,2163.426
34,2163.426,2.319276,1443.47,962.226,2163.426
35,2163.426,-25.36,1244.518,1020.147,2163.426
36,2163.426,6.369362,1360.527,947.9641,2163.426
37,2163.426,-123.4281,1321.834,1006.831,2163.426
38,2166.905,2.225549,1429.988,970.405,2166.905
39,2123.689,-63.17923,754.1202,979.3681,2166.905
40,2166.905,2.117158,1462.341,932.2338,2166.905
41,2351.61,-10.97818,1362.143,1011.552,2351.61
42,2351.61,2.820414,1340.699,1011.637,2351.61
43,2571.995,0.1360736,1418.27,1066.424,2571.995
44,2576.518,2.781585,1639.153,1121.982,2576.518
45,2611.93,-153.6548,1439.101,1183.407,2611.93
46,2624.568,6.352464,1444.01,1165.185,2624.568
47,2611.93,-21.67437,1493.438,1138.494,2624.568
48,2611.93,1.814295,1776.871,1110.206,2624.568
49,2624.568,-345.0996,1292.655,1255.686,2624.568
50,2624.568,2.089567,1413.048,1246.778,2624.568
51,2556.524,-183.1439,1297.179,1240.616,2624.568
52,2556.524,-321.4536,1330.487,1203.837,2624.568
53,2624.568,-1848.398,1409.603,1353.289,2624.568
54,2624.568,1.655192,1615.468,1194.237,2624.568
55,2691.959,2.508198,1458.401,1204.323,2691.959
56,2733.929,2.048387,1734.707,1188.36,2733.929
57,2782.231,1.557733,1910.99,1093.868,2782.231
58,2750.145,6.360476,2105.258,975.1202,2782.231
59,2750.145,6.36583,2149.989,1051.854,2782.231
60,2750.145,6.498242,2232.249,906.7011,2782.231
61,2805.329,-59.68348,2232.38,974.4253,2805.329
62,2805.329,-1110.307,1983.665,1226.163,2805.329
63,2805.329,-1207.185,2085.67,1194.745,2805.329
64,2805.329,2.115396,2464.195,738.9201,2805.329
65,2805.329,6.491455,2201.406,950.6095,2805.329
66,2805.329,2.815948,2377.76,762.233,2805.329
67,2805.329,2.079468,2357.219,863.239,2805.329
68,2805.329,-2223.211,1562.945,1388.854,2805.329
69,2805.329,-126.5606,1928.121,1131.728,2805.329
70,2805.329,-234.7789,1992.887,1149.205,2805.329
71,2739.558,1.903737,2433.085,720.0021,2805.329
72,2805.329,0.1849963,1733.642,1260.502,2805.329
73,2805.329,1.215946,2027.907,1134.488,2805.329
74,2805.329,-266.0404,1638.646,1256.407,2805.329

