Generation,PopBest,PopAvg,BestOverall
0,890.5001,-6.682827,890.5001
1,1065.596,28.94627,1065.596
2,1356.557,26.07087,1356.557
3,942.8559,163.7196,1356.557
4,2079.146,228.6366,2079.146
5,1588.025,176.2683,2079.146
6,575.1487,86.43073,2079.146
7,1057.055,46.72108,2079.146
8,264.6724,-30.48977,2079.146
9,2238.788,191.92,2238.788
10,1528.55,59.20337,2238.788
11,1504.702,68.65219,2238.788
12,2514.89,76.0089,2514.89
13,337.9572,-87.35211,2514.89
14,634.3459,-222.1181,2514.89
15,137.376,-17.42088,2514.89
16,675.5449,-4.038228,2514.89
17,138.436,-31.95381,2514.89
18,2160.447,204.9931,2514.89
19,787.5584,70.97123,2514.89
20,14256.1,652.6106,14256.1
21,299.3985,-4.346284,14256.1
22,657.4384,60.02473,14256.1
23,698.1718,56.81676,14256.1
24,2060.886,-9.108554,14256.1

