Generation,PopBest,PopAvg,BestOverall
0,40.81993,40.81993,40.81993
1,-100.0756,-100.0756,40.81993
2,30.4731,30.4731,40.81993
3,37.43996,37.43996,40.81993
4,-74.82046,-74.82046,40.81993
5,33.64733,33.64733,40.81993
6,1985.759,1985.759,1985.759
7,76.52419,76.52419,1985.759
8,43.83532,43.83532,1985.759
9,-98.2288,-98.2288,1985.759
10,-240.8226,-240.8226,1985.759
11,78.57794,78.57794,1985.759
12,17.09111,17.09111,1985.759
13,-43.12449,-43.12449,1985.759
14,-283.1803,-283.1803,1985.759
15,91.00397,91.00397,1985.759
16,-2477.506,-2477.506,1985.759
17,-203.8601,-203.8601,1985.759
18,45.82269,45.82269,1985.759
19,-10.56017,-10.56017,1985.759
20,-105.5824,-105.5824,1985.759
21,1515.586,1515.586,1985.759
22,-272.7931,-272.7931,1985.759
23,-83.05725,-83.05725,1985.759
24,-66.63057,-66.63057,1985.759

