Generation,PopBest,PopWorst,PopAvg,StdDeviation,BestOverall
0,1299.498,-953.955,70.35725,396.0331,1299.498
1,1346.42,6.692918,671.887,497.7638,1346.42
2,1346.42,2.158346,1058.354,457.1302,1346.42
3,1346.42,2.1068,981.3917,532.1331,1346.42
4,1806.236,2.117251,1158.956,573.9472,1806.236
5,2413.704,-95.50861,1273.951,771.0861,2413.704
6,2418.122,6.498242,1334.484,931.4148,2418.122
7,2521.464,-29.63519,1574.842,1068.423,2521.464
8,5201.699,7.058749,2273.871,877.4805,5201.699
9,6083.477,56.07166,2669.916,1625.593,6083.477
10,6202.387,6.5002,4247.593,2620.709,6202.387
11,6202.387,117.7779,4094.689,2547.054,6202.387
12,6202.387,6.659636,4432.027,2502.744,6202.387
13,6202.387,-130.1899,3893.898,2765.12,6202.387
14,6202.387,-140.4981,4198.689,2561.686,6202.387
15,6202.387,-139.0671,4122.215,2547.993,6202.387
16,6207.506,6.500074,4368.164,2502.342,6207.506
17,6083.477,-136.2071,3695.906,2522.287,6207.506
18,6202.387,6.650422,5186.003,1950.878,6207.506
19,6116.169,6.372064,4829.806,1860.076,6207.506
20,6202.387,-177.9044,4343.372,2691.663,6207.506
21,6412.352,6.681846,4661.043,2208.664,6412.352
22,6666.526,-11.28616,3866.26,2785.932,6666.526
23,6694.7,6.370549,4636.883,2831.102,6694.7
24,6694.7,6.371735,4433.675,2967.526,6694.7
25,6802.367,2.264843,3705.933,3227.338,6802.367
26,6802.367,6.618266,3320.21,3247.108,6802.367
27,6964.991,-249.7986,3344.515,3312.427,6964.991
28,7061.812,-141.0181,3350.517,3336.682,7061.812
29,7085.296,6.360866,3963.789,3295.257,7085.296
30,7085.296,6.743822,4817.621,2998.647,7085.296
31,7061.812,6.476008,3372.769,3292.218,7085.296
32,7085.296,2.754434,3856.939,3303.493,7085.296
33,7085.296,6.360868,4378.674,3256.184,7085.296
34,7085.296,-154.1105,4204.837,3386.336,7085.296
35,7085.296,-130.9513,3355.822,3322.501,7085.296
36,7085.296,-91.52374,3905.239,3310.442,7085.296
37,7085.296,2.490349,3767.241,3338.36,7085.296
38,7085.296,-123.1791,3994.701,3351.087,7085.296
39,7085.579,-283.2086,2866.48,3360.727,7085.579
40,7085.579,-102.2366,4017.209,3355.695,7085.579
41,7080.806,2.508122,3443.906,3332.52,7085.579
42,7085.579,-154.7513,4973.392,2996.988,7085.579
43,7016.515,6.351923,4179.413,3222.208,7085.579
44,7085.579,2.495107,3932.558,3347.448,7085.579
45,7882.625,-132.9107,3971.545,3425.279,7882.625
46,7987.83,6.360866,4038.357,3373.779,7987.83
47,8018.587,-221.0992,3248.341,3759.241,8018.587
48,8175.998,-82.2222,4907.575,3727.546,8175.998
49,8128.943,6.360868,3680.925,3640.49,8175.998
50,8175.998,-677.3228,4254.684,3911.221,8175.998
51,8209.097,6.694294,4395.76,3732.097,8209.097
52,8209.097,-1025.77,4150.988,3901.648,8209.097
53,8188.643,6.352676,3664.543,3869.315,8209.097
54,8214.585,-201.0868,4583.562,3898.116,8214.585
55,8230.11,1.613263,3785.202,3763.513,8230.11
56,8431.471,1.714155,4519.678,3835.827,8431.471
57,8423.304,6.473587,4343.455,3978.228,8431.471
58,8473.112,6.37123,5347.663,3974.877,8473.112
59,8438.952,6.500681,5718.264,3736.991,8473.112
60,8387.997,-296.3685,5243.303,3910.813,8473.112
61,8473.112,6.743822,5755.637,3853.802,8473.112
62,8426.531,-108.7432,5120.399,3750.154,8473.112
63,8489.474,2.716733,5579.017,3812.799,8489.474
64,8535.908,6.743822,6129.116,3675.084,8535.908
65,8489.474,6.369354,4620.854,3957.271,8535.908
66,8489.474,6.35592,4167.633,3970.031,8535.908
67,8489.474,-194.5681,4377.939,3984.532,8535.908
68,8407.217,-207.7537,3281,3823.662,8535.908
69,8833.295,2.467795,3650.396,3972.895,8833.295
70,8944.551,6.500682,3531.922,3952.421,8944.551
71,8944.551,6.743822,4429.096,4014.23,8944.551
72,8944.551,6.35651,3620.399,4160.946,8944.551
73,9138.962,6.500188,4685.021,4313.083,9138.962
74,8944.551,2.82485,3362.819,4130.955,9138.962

