Generation,PopBest,PopAvg,BestOverall
0,27.93301,27.93301,27.93301
1,113.4501,113.4501,113.4501
2,390.4518,390.4518,390.4518
3,-94.41521,-94.41521,390.4518
4,-104.6424,-104.6424,390.4518
5,278.338,278.338,390.4518
6,21.21801,21.21801,390.4518
7,-190.257,-190.257,390.4518
8,216.5647,216.5647,390.4518
9,-162.6592,-162.6592,390.4518
10,701.0374,701.0374,701.0374
11,726.655,726.655,726.655
12,664.226,664.226,726.655
13,-35.30593,-35.30593,726.655
14,-153.637,-153.637,726.655
15,34.26249,34.26249,726.655
16,-71.72762,-71.72762,726.655
17,-101.234,-101.234,726.655
18,-54.23362,-54.23362,726.655
19,-206.2999,-206.2999,726.655
20,-98.57768,-98.57768,726.655
21,52.94867,52.94867,726.655
22,-309.0078,-309.0078,726.655
23,-111.4876,-111.4876,726.655
24,-30.52758,-30.52758,726.655

