Generation,PopBest,PopAvg,BestOverall
0,1601.144,-47.8695,1601.144
1,223.9509,-120.2736,1601.144
2,93.90815,-87.2456,1601.144
3,567.3243,-33.68263,1601.144
4,126.4414,-48.98216,1601.144
5,84.05656,-56.4782,1601.144
6,1469.772,40.06498,1601.144
7,155.9004,-31.32923,1601.144
8,2711.204,-2411.178,2711.204
9,4640.171,489.0907,4640.171
10,2160.632,64.17754,4640.171
11,4176.897,264.9131,4640.171
12,2253.721,42.18439,4640.171
13,2346.109,264.4899,4640.171
14,148.091,-82.26553,4640.171
15,216.242,-56.24998,4640.171
16,128.7697,-112.7283,4640.171
17,153.1822,-40.36352,4640.171
18,1136.927,46.53576,4640.171
19,287.5227,14.12173,4640.171
20,114.534,-8.244049,4640.171
21,1343.362,42.1748,4640.171
22,1194.938,36.10652,4640.171
23,1374.926,93.48078,4640.171
24,3023.802,390.678,4640.171

