Generation,PopBest,PopAvg,BestOverall
0,1212.433,-38.08203,1212.433
1,394.322,4.041407,1212.433
2,1393432,55769.02,1393432
3,1332.443,-26.67692,1393432
4,23863.78,1031.13,1393432
5,2318.857,143.7607,1393432
6,2303.613,203.6033,1393432
7,1981.977,120.0001,1393432
8,2248.273,119.1336,1393432
9,2266.25,177.3338,1393432
10,1321.452,64.15257,1393432
11,1454.249,121.8369,1393432
12,2801.468,278.0765,1393432
13,1661.183,-4187.301,1393432
14,3031.019,254.1403,1393432
15,1093.585,35.97838,1393432
16,2161.843,139.5491,1393432
17,677.3163,18.96405,1393432
18,322.6963,-29.05259,1393432
19,65777.3,2900.709,1393432
20,591.6382,-16.52874,1393432
21,605.8373,17.80305,1393432
22,2974035,119067.2,2974035
23,2095033,83820.53,2974035
24,2637.806,153.0284,2974035

