Generation,PopBest,PopWorst,PopAvg,StdDeviation,BestOverall
0,2409.448,-237.7583,207.4597,604.1997,2409.448
1,2695.432,-129.2323,1158.791,876.8155,2695.432
2,2695.432,-197.0325,1731.082,944.4724,2695.432
3,2557.994,-127.01,1812.101,979.6522,2695.432
4,3641.707,-60.30883,1968.613,924.6859,3641.707
5,31653.4,33.18658,3596.889,5797.876,31653.4
6,33055.72,-44.36446,6078.054,9852.648,33055.72
7,33888.95,82.23196,16264.82,14654.15,33888.95
8,36012.7,-292.2585,23546,14420.62,36012.7
9,36253.27,95.55302,19005.77,16602.57,36253.27
10,2334491,55.53424,114536.7,453429.1,2334491
11,2335311,-100.8269,299061.2,751199.8,2335311
12,2652728,-364.6177,773289.8,1116547,2652728
13,2998883,-248.1886,1330775,1287219,2998883
14,3065969,-367.3259,1732343,1411737,3065969
15,3069522,-319.5139,2067491,1336808,3069522
16,3076659,103.5993,2452998,1224373,3076659
17,3132381,89.61459,2206065,1373557,3132381
18,3132626,1213.196,2724037,1004761,3132626
19,3138655,877.0563,2572349,1147026,3138655
20,3168374,631.0006,2372763,1330187,3168374
21,3168052,-24.07468,2096232,1381515,3168374
22,3168052,-99.34967,1923102,1432072,3168374
23,3161507,-37.81721,1525160,1392500,3168374
24,3168052,193.3875,1581779,1442142,3168374

