Generation,PopBest,PopWorst,PopAvg,StdDeviation,BestOverall
0,2234.432,-308.7737,178.4784,559.1501,2234.432
1,2381.973,-159.4981,803.581,822.0374,2381.973
2,3637.17,-60.94433,1656.811,1029.496,3637.17
3,4175.806,-260.4822,2161.939,1164.536,4175.806
4,5325.43,-356.6944,2788.581,1705.536,5325.43
5,11626,30.41063,4047.787,2192.51,11626
6,12107.73,-90.11942,6301.643,4112.148,12107.73
7,12768.82,-211.5613,8800.562,4901.826,12768.82
8,393306,-203.6144,26494.91,74949.55,393306
9,393306,19.2404,34293.16,82844.14,393306
10,639250.8,18.09431,115315.2,182969.4,639250.8
11,913204.3,32.56313,214318.7,309743.8,913204.3
12,994545.5,-313.1134,360856.7,390208.4,994545.5
13,1039195,-203.6751,592125.3,411216.1,1039195
14,1042621,-31.96255,818519.5,371986.8,1042621
15,1044505,42.17884,788429.9,436467.8,1044505
16,2248137,14403.18,1016702,360327.1,2248137
17,2260769,98.14915,962117.7,771779.7,2260769
18,2261659,15.86059,1856783,755619.1,2261659
19,2261659,134.8755,2056175,613010.8,2261659
20,2410852,50.34211,1723662,966061.1,2410852
21,2804217,255.9963,2110259,634186.1,2804217
22,2883531,11.07276,1682839,1108164,2883531
23,2885586,78.20531,2408382,905240.5,2885586
24,2885586,77.02917,2111039,1232371,2885586

