Generation,PopBest,PopWorst,PopAvg,StdDeviation,BestOverall
0,3017.207,-530.2203,174.6247,659.8433,3017.207
1,2971.54,-183.6279,1157.587,1091.164,3017.207
2,2971.54,-535.8725,2232.674,1079.432,3017.207
3,3900.241,-180.7336,2326.458,1174.106,3900.241
4,4326.267,-214.5408,2694.531,1354.63,4326.267
5,2023123,-184.7471,83838.35,395858.2,2023123
6,2028569,-101.249,568300.6,906782.7,2028569
7,2042963,-392.2572,1439967,900368.4,2042963
8,2042962,222.2642,1850337,548970.9,2042963
9,2027099,-377.5493,1371905,940481,2042963
10,2042979,13.06502,1610439,806022.6,2042979
11,2042726,-214.3633,1540015,865468.9,2042979
12,2326884,-186.5487,1217016,995056.5,2326884
13,2332685,-367.7097,1458624,1007648,2332685
14,2362228,-519.0871,1754674,989008.4,2362228
15,2339948,-351.7309,1490674,1117565,2362228
16,2338618,-81.77628,1864470,931143.3,2362228
17,2361919,-123.9902,1756957,971674.8,2362228
18,2341843,-367.5472,1959806,854960.7,2362228
19,2338450,220.4023,2142738,631544,2362228
20,2341773,-363.4501,1678054,1045975,2362228
21,2339970,-8.053717,1679140,1046344,2362228
22,2341843,-252.6902,1224528,1153358,2362228
23,2340337,-215.7037,1840793,927991.2,2362228
24,2891415,-216.1697,1887638,949883.5,2891415

