Generation,PopBest,PopWorst,PopAvg,StdDeviation,BestOverall
0,957.7712,-302.1286,6.963891,254.681,957.7712
1,5681.331,-139.816,592.9374,1093.817,5681.331
2,19567.26,46.48444,2365.49,4920.168,19567.26
3,3062330,-38.21046,131071.6,598438.3,3062330
4,3067988,16.33163,497993.1,1119074,3067988
5,3143985,12.19629,1756316,1486011,3143985
6,3236578,61.77729,2362219,1322018,3236578
7,3247141,21.11534,2025338,1518554,3247141
8,3247217,264.4282,2671182,1110422,3247217
9,3238684,35.80843,2118431,1449907,3247217
10,3248269,107.5657,2344185,1401403,3248269
11,3243901,16.45343,1673999,1527913,3248269
12,3247141,21.14153,2004208,1506595,3248269
13,3239754,656.5173,2240531,1440618,3248269
14,3239394,811.8475,2289217,1379193,3248269
15,3240545,61.30394,1625410,1530404,3248269
16,3248258,97.31973,2287694,1343587,3248269
17,3253633,66.46309,1962033,1428427,3253633
18,3255108,41.74816,2321443,1351270,3255108
19,3240956,696.1861,2493251,1212909,3255108
20,3243149,52.7091,2171537,1407040,3255108
21,3256442,42.00725,2071310,1441812,3256442
22,3242934,22.95816,1682207,1610624,3256442
23,3243911,113.338,1944598,1425290,3256442
24,3244015,50.67575,1817532,1471952,3256442

