Generation,PopBest,PopWorst,PopAvg,StdDeviation,BestOverall
0,3223.244,-593.134,179.3869,820.0646,3223.244
1,4370.855,-64.03033,1312.833,1426.993,4370.855
2,6657.526,-39.65799,2436.709,1861.282,6657.526
3,7689.846,-61.51855,3212.177,1770.19,7689.846
4,11609.51,-39.78025,3934.28,2770.278,11609.51
5,1068205,-60.53873,87897.4,283600.2,1068205
6,1142310,-1.327883,515451.1,533602.7,1142310
7,1145516,-26.27091,812486.9,456418,1145516
8,1145516,70.5945,1007261,299560.3,1145516
9,1144858,-93.83435,835331.3,469975.4,1145516
10,1155779,201.2999,1076978,221083.8,1155779
11,1157504,-64.07158,723402.1,541565.7,1157504
12,1156043,-101.5185,736221.7,551584,1157504
13,1195913,-35.72432,785465.8,538284.4,1195913
14,1198421,-87.62527,882818.4,495416.6,1198421
15,1199577,-22.53479,668065.8,590126.4,1199577
16,1199577,106.8584,950919.4,475295.3,1199577
17,1199748,-36.59274,714807.6,583064.8,1199748
18,1199748,-42.31646,995498.3,435421.2,1199748
19,1199748,908.2188,1003029,436141.8,1199748
20,1201045,57.61096,903329.8,507329.3,1201045
21,1230517,16.25054,816727.2,557733.2,1230517
22,1233514,-40.32226,627822.5,602190.6,1233514
23,1236955,-36.9996,885380,546663.9,1236955
24,1236955,90.06178,837108.1,573513.6,1236955

