Generation,PopBest,PopWorst,PopAvg,StdDeviation,BestOverall
0,993654.5,-7741.164,39395.77,194793.2,993654.5
1,1006352,-101.6255,199423.1,398322.6,1006352
2,1002181,-36.36549,517559.1,496861.4,1006352
3,1026731,-30.47166,479520.3,499153.5,1026731
4,1102227,-37.21726,521643.8,501393.7,1102227
5,1108686,-32.40511,488174.4,508346.2,1108686
6,1108686,-41.01651,419918.1,513002.1,1108686
7,1110342,-38.88464,546872,525611.8,1110342
8,1110896,-30.18752,733486.2,504517.6,1110896
9,1110896,-33.07037,614764.2,544948,1110896
10,1110342,-38.36066,613488.8,544013.4,1110896
11,1208593,-37.28458,662854,541958.1,1208593
12,1212049,-35.83724,541668.8,563183.4,1212049
13,1214450,-30.51712,760353.6,567689.1,1214450
14,1213586,-34.35672,726859.6,593009.9,1214450
15,1265098,-36.30448,825698.4,565574.6,1265098
16,1320801,92.633,976079.8,489738.2,1320801
17,1272309,-34.6439,526699.1,599152.3,1320801
18,1281488,154.2711,1014250,502785.3,1320801
19,1275284,-32.63846,1023437,468171.3,1320801
20,1272700,-38.37074,951136.8,522799.4,1320801
21,1272309,-38.14241,940716.1,537783.9,1320801
22,1312546,-26.3443,803672.4,590286.9,1320801
23,1312039,139.9174,1122205,414134.4,1320801
24,1337730,88.66661,939695.8,580850.6,1337730

