Generation,PopBest,PopWorst,PopAvg,StdDeviation,BestOverall
0,922.3037,-226.8587,23.20724,217.3642,922.3037
1,1242927,-122.2793,50091.99,243486.6,1242927
2,1243395,51.97012,149709.4,403384.7,1243395
3,1334896,28.69409,650380.6,624538.6,1334896
4,1335961,74.53105,1044411,460314.1,1335961
5,1337283,60.29377,1038470,521926.4,1337283
6,1473384,-9.500951,907499.1,622084.1,1473384
7,1489945,52.32805,1051243,593367.7,1489945
8,1492827,12.07062,1408967,289018.5,1492827
9,1497992,82.13259,1188665,594281.4,1497992
10,1494510,26.61044,1073330,667618.4,1497992
11,1497992,51.24485,1073257,667893,1497992
12,1527873,28.43369,1067218,666319.6,1527873
13,1534735,193.1707,1379654,407820,1534735
14,1538240,29.57473,1221562,610612.6,1538240
15,1538123,47.03576,1159249,650191.4,1538240
16,1537143,101.3655,1331629,498834.3,1538240
17,1538123,46.88261,1224307,610694.8,1538240
18,1539371,54.61183,1473348,300807.1,1539371
19,1545044,140.6201,1346641,496670.9,1545044
20,1545044,27.84377,1232410,615910.3,1545044
21,1545204,64.23736,1324530,493831.1,1545204
22,1551325,-23.16718,1344463,498108.2,1551325
23,1554098,101.8851,1358189,501520.1,1554098
24,1556745,113.9216,1232568,616269,1556745

