Generation,PopBest,PopWorst,PopAvg,StdDeviation,BestOverall
0,988.4355,-307.4495,26.44089,290.8567,988.4355
1,1015.627,22.37911,493.1652,395.2668,1015.627
2,3353.911,15.74818,885.0897,601.1015,3353.911
3,7477.096,192.5014,1629.89,1698.437,7477.096
4,8131.552,97.0332,2381.721,2207.971,8131.552
5,9861.975,98.41609,3193.448,2841.373,9861.975
6,203863.9,84.15551,10651.08,39497.31,203863.9
7,203863.9,130.6291,10803.25,39471.7,203863.9
8,203863.9,864.3057,23166.75,54649.45,203863.9
9,203863.9,124.648,20246.2,54252.06,203863.9
10,46930.88,422.1609,5850.48,8932.673,203863.9
11,203863.9,80.44373,18678.22,41233.38,203863.9
12,203863.9,96.20753,28504.46,43715.86,203863.9
13,1234521,18.98433,94031.39,270852.4,1234521
14,1239131,27.6779,562875.6,585025.9,1239131
15,1249323,19.40581,824547.4,567796.1,1249323
16,1252095,-116.7905,936913.8,526283.5,1252095
17,1243763,341.4068,741983.8,600847.1,1252095
18,1258783,96.80083,1133653,333901.5,1258783
19,1252719,239.5717,1085743,400820.8,1258783
20,1251362,31.85118,936361.1,525927.4,1258783
21,1243700,19.42871,1031817,447376,1258783
22,1251730,90.41886,744081.9,601256.4,1258783
23,1248425,186.9939,990241.5,486755,1258783
24,1253683,80.3091,891019.4,551112.9,1258783

