Generation,PopBest,PopWorst,PopAvg,StdDeviation,BestOverall
0,276.006,-431.9255,-53.11496,150.9681,276.006
1,1346.75,-349.1567,176.9994,281.7731,1346.75
2,1432066,-146.788,57885.7,280504.2,1432066
3,1445265,-14.8484,336593.6,597742,1445265
4,1486792,16.16648,985578,629498.1,1486792
5,1481242,214.5515,1099824,617792.7,1486792
6,1478715,57.21543,936555.8,702202.1,1486792
7,1553025,6.485415,1120679,629992.8,1553025
8,1567739,31.88428,1256432,549006.1,1567739
9,1559726,-270.1895,1163904,654506.6,1567739
10,1592739,112.4278,1247005,623513.8,1592739
11,1606527,50.46611,1070367,734178.9,1606527
12,1606527,153.5661,1081379,740816.2,1606527
13,1606676,65.95318,1009180,760144.5,1606676
14,1606527,22.31517,1154299,719236.2,1606676
15,1606676,-31.54015,1024898,764858.9,1606676
16,1606527,88.6491,1151486,717566.9,1606676
17,1607762,-144.2941,1023304,766597.6,1607762
18,1607874,85.89703,1344962,585352.9,1607874
19,1607874,37.67333,1406814,519372.4,1607874
20,1607874,92.13378,1019928,764481.4,1607874
21,1608966,31.43958,1322596,585484.4,1608966
22,1607874,-276.4321,982578.6,745409.3,1608966
23,2738680,45.2098,1391551,646452.4,2738680
24,2749883,5.670469,1590229,1090399,2749883

