Generation,PopBest,PopWorst,PopAvg,StdDeviation,BestOverall
0,37538.1,-1938.61,1407.98,7387.837,37538.1
1,407106.5,-161.1397,29312.13,85415.95,407106.5
2,3009612,-110.6564,159840.4,584551.7,3009612
3,3033274,89.69923,354961.6,822581.1,3033274
4,3041544,869.9219,1374877,1354533,3041544
5,3042519,1354.5,2379503,1189005,3042519
6,3043325,99.15161,2187142,1292879,3043325
7,3041761,142.0682,1996085,1373542,3043325
8,3055316,842.2077,2511596,1106377,3055316
9,3043325,742.2451,2401901,1199192,3055316
10,3044270,711.4183,2406307,1201733,3055316
11,3043325,124.6427,2355177,1205699,3055316
12,3043325,86.48569,2283917,1275947,3055316
13,3149921,632.3168,2385490,1202056,3149921
14,3145801,754.8635,2417755,1216242,3149921
15,3146980,-35.72547,1778101,1461139,3149921
16,3146980,148.2925,2330383,1274105,3149921
17,3143897,167.9814,1947527,1398183,3149921
18,3146980,595.9561,2239563,1362320,3149921
19,3155513,849.269,2223229,1338020,3155513
20,3155513,-31.98299,1754591,1488725,3155513
21,3154087,140.6589,2024956,1414319,3155513
22,3154087,-37.48582,1632777,1466916,3155513
23,3154087,849.269,2349252,1299265,3155513
24,3155513,143.6005,1840499,1496930,3155513

