Generation,PopBest,PopWorst,PopAvg,StdDeviation,BestOverall
0,646.2569,-690.6922,-3.410159,200.5153,646.2569
1,6587.691,2.166965,424.9714,1293.014,6587.691
2,6750.229,-309.4105,2333.13,2752.62,6750.229
3,6836.687,2.113532,5387.956,2623.156,6836.687
4,6928.016,2.114789,5140.06,2859.163,6928.016
5,6939.21,-110.9308,4684.172,2985.233,6939.21
6,6964.372,1.658549,5368.019,2687.321,6964.372
7,7000.357,2.089558,4677.205,3195.896,7000.357
8,6964.372,-0.9906209,6061.717,2206.942,7000.357
9,6964.564,6.422863,5225.991,2892.063,7000.357
10,6964.372,-113.1951,4991.611,3045.61,7000.357
11,6989.652,6.371212,6307.217,1841.64,7000.357
12,7007.802,-211.1878,4959.423,3068.364,7007.802
13,7007.79,-10.4261,5299.154,2748.669,7007.802
14,7007.092,-1010.622,4950.239,3182.314,7007.802
15,7008.882,1.837236,5275.289,2849.447,7008.882
16,7038.248,-297.9003,6318.361,1934.136,7038.248
17,7084.571,-1121.577,4854.128,3173.883,7084.571
18,7177.289,2.508202,6508.422,1902.879,7177.289
19,7177.289,1.942711,6045.17,2509.194,7177.289
20,7230.251,2.171641,5119.415,3147.647,7230.251
21,7687.783,2.089053,6055.81,2644.6,7687.783
22,7743.111,1.717268,4342.34,3463.604,7743.111
23,7815.993,2.089565,6281.102,2832.906,7815.993
24,62089.48,2.169625,8397.25,11374.72,62089.48
25,62584.11,-113.2149,15890.8,23470.16,62584.11
26,62587.94,6.365819,26016.3,29635.5,62587.94
27,62649.77,-114.8166,30047.49,30914.83,62649.77
28,63184.65,-415.5458,32785.85,30926.72,63184.65
29,63482.03,2.473182,32877.26,31031.67,63482.03
30,63471.18,-11.05729,37768.06,30835.81,63482.03
31,64178.75,-629.6464,28125.62,31223.15,64178.75
32,1441594,-9.714178,91246.89,277321.1,1441594
33,1442158,-12.91224,140958,384863.3,1442158
34,1443284,1.412792,645023.2,706905.8,1443284
35,1477257,-642.4735,637437.4,718830.6,1477257
36,1476965,2.079499,757757.1,726971.8,1477257
37,1477257,1.58222,651019.3,729384,1477257
38,1477508,-25.51837,767243.8,737145.2,1477508
39,1477257,2.027099,410107.6,655371.2,1477508
40,1477508,-556.6233,767864.1,737779.2,1477508
41,1477257,-642.3813,650221.4,732641.9,1477508
42,1477508,2.089617,826552.6,731771.9,1477508
43,1477257,2.08959,590471.6,722097.6,1477508
44,1477508,-28.04078,940508.3,704802.2,1477508
45,1477508,2.004858,826270.8,731614.9,1477508
46,1477508,2.805557,886319.8,723055.9,1477508
47,1477257,-5.274024,530799.2,705221.4,1477508
48,1477508,6.665345,826634.5,731920.9,1477508
49,1479526,1.360431,709119.6,737649,1479526
50,1479898,1.800932,769516.8,737705.8,1479898
51,1524493,-653.7173,768918.9,738404.8,1524493
52,1586977,2.119306,905410.1,734801.7,1586977
53,1587694,-130.6183,625888.2,761066.1,1587694
54,1588850,6.372376,950884,774441.9,1588850
55,1588850,2.089035,824893.2,787124.6,1588850
56,1605944,0.5104882,1011879,759145.7,1605944
57,1605368,6.366482,769039.4,794311.8,1605944
58,1606404,2.473179,963513.3,785210.1,1606404
59,1606451,-84.89697,965102.1,783311.4,1606451
60,1607599,-27.49463,1027201,769822.1,1607599
61,1608964,2.811413,1156043,720321.9,1608964
62,1608640,-9.595435,894347.2,792609.4,1608964
63,1609924,1.435035,966236.9,782547.6,1609924
64,1608851,2.079521,1221855,685987.9,1609924
65,1608866,0.2137689,900397.4,796960.3,1609924
66,1609837,1.189899,1090673,745745.2,1609924
67,1613682,6.371211,1045543,753311.1,1613682
68,1613108,1.607322,1041423,756112.7,1613682
69,1613918,2.167672,902800.8,795482.3,1613918
70,1632115,1.518273,968933.1,789007.8,1632115
71,1633376,2.685704,1104159,753550.9,1633376
72,1633431,2.08286,913055.6,808191.1,1633431
73,1633654,-9.350117,913008.6,808642.4,1633654
74,1632770,-589.5164,850728.9,812635.6,1633654

