Generation,PopBest,PopWorst,PopAvg,StdDeviation,BestOverall
0,2519.524,-2570.905,-93.79028,783.9487,2519.524
1,2548.171,2.0895,485.4047,887.3149,2548.171
2,5957.457,6.503864,1827.039,1361.561,5957.457
3,10045.67,-2.221219,2679.663,2238.069,10045.67
4,10045.67,-205.8434,4219.961,2710.73,10045.67
5,10560.46,6.663494,5087.925,3211.811,10560.46
6,31744.45,6.487883,6805.619,5841.983,31744.45
7,31744.45,17.69072,8858.796,7879.619,31744.45
8,31744.45,-29.52239,7940.46,5768.156,31744.45
9,31744.45,-72.0737,9310.688,7835.105,31744.45
10,31744.45,-74.90153,11274.74,8691.659,31744.45
11,31744.45,39.07286,9467.05,8377.506,31744.45
12,41196.09,6.684024,11619.94,11532.75,41196.09
13,41196.09,7.040086,8931.646,10176.73,41196.09
14,41196.09,111.0218,15538.76,12944.89,41196.09
15,41196.09,-21.52786,14180.61,11886.6,41196.09
16,1099443,838.6047,59190.45,212627,1099443
17,1153544,2.815603,279221.2,464503.8,1153544
18,1157007,6.662596,724125.9,535194.1,1157007
19,1155478,6.673183,920202.3,453080.7,1157007
20,1153544,92.54858,955486.6,415119.4,1157007
21,1157719,7.058713,869483.2,483867.4,1157719
22,1164867,-27.46163,637259.9,561930.1,1164867
23,1164867,6.75822,924965.3,452053.3,1164867
24,1200433,6.351961,929643.3,459336.9,1200433
25,1204862,144.3904,784399.4,535125.3,1204862
26,1209167,115.6924,760792.3,534456.4,1209167
27,1209167,6.665401,655668.8,546061.2,1209167
28,1210559,6.70707,554042.8,560736.2,1210559
29,1210559,140.5032,787036.2,518685.6,1210559
30,1210827,-5.861894,1053417,389030.8,1210827
31,1212097,6.668302,825388.9,553274.1,1212097
32,1213776,6.663301,902543.1,507105.7,1213776
33,1212098,6.666225,784182.6,566762.8,1213776
34,1212098,131.3452,1064233,392760,1213776
35,1212098,61.15841,761517.4,573629.3,1213776
36,1214901,1418.798,1007366,437323.3,1214901
37,1214901,46.99405,976550.5,464737.9,1214901
38,1215479,6.352736,825073.3,562123.2,1215479
39,1214901,-29.22802,719578.3,572700.9,1215479
40,1212175,6.675231,857628.3,526326.9,1215479
41,1212175,106.4955,872166,542775.1,1215479
42,1212542,103.1021,937815.8,476311.7,1215479
43,1213547,6.356498,708360.4,572802.8,1215479
44,1212543,24.24388,1059867,391885.7,1215479
45,1212543,98.56931,950994.2,461343.3,1215479
46,1212196,133.4545,1011077,437245.4,1215479
47,1212175,-93.87053,658420.5,585459.6,1215479
48,1212175,37.30825,963849.8,477552.5,1215479
49,1212542,37.41645,913988.9,510055.3,1215479
50,1212542,6.75111,923566.9,509833,1215479
51,1212175,6.655667,867553.8,540705.1,1215479
52,1212256,-16.31381,956007.1,480077.5,1215479
53,1218449,6.755152,823910.5,561555.9,1218449
54,1218449,6.674267,856839.8,535402.6,1218449
55,1218449,95.90035,807391.4,528790,1218449
56,1218449,6.674401,739692.1,550259.7,1218449
57,1218449,6.490841,736988.3,561177.8,1218449
58,1218449,6.665402,817901.1,534769.9,1218449
59,1218449,6.663495,1014181,443203.9,1218449
60,1218449,6.673191,845061.1,507157.7,1218449
61,1256292,162.1657,1071166,394827.6,1256292
62,1224076,6.488542,639648.1,534665.8,1256292
63,1242319,123.1343,969113.8,482610.3,1256292
64,1242319,30.17311,1079753,395341.3,1256292
65,1242319,-32.13652,838386.2,563978.9,1256292
66,1242319,6.683899,841431.4,563705.6,1256292
67,1242319,93.17493,983822.5,472708.1,1256292
68,1242319,-29.50072,735083.9,586657.5,1256292
69,1235107,132.2517,837057.8,544860.3,1256292
70,1235107,-26.10062,980087.8,488586.2,1256292
71,1248732,38.60939,1120220,331308.2,1256292
72,1248732,2.208064,642823.2,613110.4,1256292
73,1248732,-28.50941,660416.2,603770.5,1256292
74,1248732,2.689347,796738.6,575705.6,1256292

