Generation,PopBest,PopWorst,PopAvg,StdDeviation,BestOverall
0,1025.994,-1453.964,-67.73311,388.9356,1025.994
1,3759.363,2.116282,594.9344,824.8309,3759.363
2,5413.268,6.500385,1669.893,1481.666,5413.268
3,5550.788,6.68185,3514.54,1853.616,5550.788
4,6199.099,-179.0242,4379.03,2196.001,6199.099
5,6292.434,-182.1736,3992.594,2508.538,6292.434
6,6628.437,-273.7856,4194.98,2917.393,6628.437
7,6628.437,-182.6192,4552.347,2854.171,6628.437
8,6644.151,6.748309,5516.571,2315.498,6644.151
9,6643.072,-911.1943,5712.332,2225.954,6644.151
10,6680.376,-647.9756,4657.498,2984.605,6680.376
11,6680.376,-1931.403,4421.721,3103.436,6680.376
12,6790.751,6.351681,3780.335,3181.251,6790.751
13,6850.395,-987.1003,4448.059,3013.166,6850.395
14,6850.395,-166.2601,4828.042,3004.036,6850.395
15,6850.395,6.748309,4986.532,2820.03,6850.395
16,20390.58,-265.3454,5397.819,4279.752,20390.58
17,24130.61,6.37033,6358.002,6508.715,24130.61
18,24130.61,6.748309,17100.45,8402.063,24130.61
19,24130.61,6.655351,16957.58,9077.979,24130.61
20,24130.61,6.665109,13724.34,9868.883,24130.61
21,24130.61,6.663156,13026.56,9638.251,24130.61
22,24130.61,6.360364,14142.9,9734.4,24130.61
23,24130.61,6.490644,16207.21,9074.495,24130.61
24,23962.68,-16.93136,14650.72,10991.97,24130.61
25,24130.61,-143.3955,11544.65,10673.78,24130.61
26,24130.61,-110.7486,12275.84,10410.99,24130.61
27,24122.5,-185.5516,12077.32,10795.56,24130.61
28,24130.61,6.369359,12870.46,10411.99,24130.61
29,24130.61,6.491915,15162.09,8933.798,24130.61
30,24130.61,-14.38684,18117.48,7906.104,24130.61
31,24030.06,-11.90712,14738.13,10486.5,24130.61
32,23943.57,6.673053,13479.26,10011.29,24130.61
33,24046.81,-97.48336,13163.28,10792.24,24130.61
34,24046.81,-191.2106,16128.05,10526.02,24130.61
35,24046.81,6.492694,10834.78,10779.84,24130.61
36,24046.81,-183.8397,13702.02,11263.93,24130.61
37,24046.81,-205.6267,14171.38,11025.3,24130.61
38,24046.81,-187.1591,15675.84,10888.9,24130.61
39,24046.81,-3.705629,9134.403,10025.5,24130.61
40,24091.83,-216.9537,13956.43,11316.65,24130.61
41,24091.83,-406.5225,14906.44,10994.85,24130.61
42,24091.83,6.683882,16648.69,10743.59,24130.61
43,24091.83,-10418.6,13612.28,11738.05,24130.61
44,24091.83,6.681852,15896.84,10833.1,24130.61
45,24091.83,6.361563,13966.6,10312.14,24130.61
46,24091.83,-273703.2,3481.429,57619.06,24130.61
47,24010.62,-94.21944,10235.59,10541.04,24130.61
48,24091.83,6.748309,17512.12,10333.66,24130.61
49,24091.83,-184.9677,11856.06,11711.37,24130.61
50,24091.83,6.360255,16563.35,10757.49,24130.61
51,24091.83,-39.12981,13606.63,11523.69,24130.61
52,24091.83,-208.9205,14104.34,10987.53,24130.61
53,24091.69,-130.4355,14093.58,10884.74,24130.61
54,24091.83,-382.2858,14413.58,11672.69,24130.61
55,24091.83,2.676159,12555.16,11155.84,24130.61
56,24091.76,6.503227,13135.03,11177.49,24130.61
57,24091.83,-230.12,13881.12,11244.25,24130.61
58,24091.83,-2565.988,15103.16,11389.57,24130.61
59,24091.83,6.484089,16181.41,10585.07,24130.61
60,24091.83,-453039.5,-3174.289,92406.34,24130.61
61,24091.83,6.748309,17133.18,10133.41,24130.61
62,24024.87,-2656.92,12343.95,11147.38,24130.61
63,24091.83,-46.94062,15334.15,10517.72,24130.61
64,24091.83,6.463247,17196.56,10591.05,24130.61
65,24091.83,-307.3655,13416.21,11142.5,24130.61
66,24091.83,6.662557,15496.58,10539.94,24130.61
67,24091.83,6.360098,15236.05,10855.06,24130.61
68,24139.02,-195.5211,12921.85,10633.03,24139.02
69,24206.52,-180.066,10485.11,9974.686,24206.52
70,24206.52,-217.2042,13954.82,11375.9,24206.52
71,24206.52,6.748309,16073.88,9627.348,24206.52
72,24206.52,-159.0684,11635.53,10567.63,24206.52
73,24206.52,-139.9447,12860.57,10952.72,24206.52
74,24206.52,-172.9805,9911.016,10067.36,24206.52

