Generation,PopBest,PopWorst,PopAvg,StdDeviation,BestOverall
0,117.8998,-1113.864,-102.6454,279.1403,117.8998
1,204.6608,-259.0457,15.59258,98.46165,204.6608
2,206.7264,-70.62568,112.1132,97.59818,206.7264
3,318.3574,-131.6907,173.9538,86.58682,318.3574
4,385.8661,-867.1705,118.8906,228.3331,385.8661
5,6810.489,-80.71156,454.767,1302.135,6810.489
6,7362.44,-94.41515,666.8909,1897.884,7362.44
7,7362.44,2.815947,2317.444,3238.854,7362.44
8,7362.44,6.490911,3650.594,3502.343,7362.44
9,8721.303,-80.57971,4501.712,3670.646,8721.303
10,8650.282,6.365527,4781.276,3889.15,8721.303
11,8724.242,6.490909,5614.818,3820.535,8724.242
12,8176.137,2.363228,4038.331,3904.028,8724.242
13,8233.553,2.38033,3830.914,3977.827,8724.242
14,8280.135,-27.9978,4283.333,4100.5,8724.242
15,9961.434,-18.57183,4682.654,4143.071,9961.434
16,1139198,6.35268,49250.23,222522.4,1139198
17,1173088,2.09253,187730.8,422374.1,1173088
18,1172730,-30.26058,744594.9,553624.4,1173088
19,1173088,-113.3482,937580.5,468799.6,1173088
20,1172826,1.650118,797552.9,545865.5,1173088
21,1233737,-7.776016,891322.1,500279.3,1233737
22,1234683,-98.62749,574232.8,594915.5,1234683
23,1234683,2.308782,1016926,448805.8,1234683
24,1234853,2.113523,937439.7,526691.2,1234853
25,1234953,6.365522,790951.1,590652.8,1234953
26,1234953,-108.4186,793360,585441.4,1234953
27,1234681,-104.2305,739877.1,594806.5,1234953
28,1234953,2.076761,929995.8,522866.3,1234953
29,1235206,-42.10828,888754.8,552408.6,1235206
30,1245791,-101.4402,1036873,452486,1245791
31,1246201,6.673013,935672.5,524879.9,1246201
32,1247559,6.351871,898581.8,552925.5,1247559
33,1247559,-89.63435,837817.4,570455.2,1247559
34,1248057,-102.5316,1096532,404939.4,1248057
35,1247277,-17.35825,896937.7,556040.4,1248057
36,1247971,6.365526,1047213,456990,1248057
37,1248010,6.371213,947936.8,532333.3,1248057
38,1248042,-102.7952,846685.6,576388.5,1248057
39,1250356,-104.0055,652733.1,615303.1,1250356
40,1250170,-104.045,948955.8,532554.9,1250356
41,1257633,2.486014,1000574,499465.7,1257633
42,1258577,6.3565,1003744,500762.5,1258577
43,1259025,-104.9074,887410.6,556401.4,1259025
44,1259963,-189.2445,1108176,407919.1,1259963
45,1259442,2.073176,909005.5,558837.3,1259963
46,1259964,-245.1385,856427.9,586712.7,1259964
47,1259442,2.517499,592587.3,616982.3,1259964
48,1259442,-27.97904,1011167,495598.6,1259964
49,1259963,-102.4857,755675.2,616422.2,1259964
50,1261727,2.157401,907413.4,563778.2,1261727
51,1261978,-102.5888,854078.9,584091,1261978
52,1261978,6.415768,1020574,482143.2,1261978
53,1261900,6.42135,707120.3,624876.4,1261978
54,1261978,2.10944,862003.2,582170.9,1261978
55,1261900,-107.0424,811435.5,598229.9,1261978
56,1262163,-107.0736,843183.4,577491,1262163
57,1261964,2.676435,852056.1,584673.6,1262163
58,1261964,-104.1207,908092.9,565739.1,1262163
59,1261964,-0.7560984,1005241,501449.2,1262163
60,1261964,1.347261,908421.9,565906.8,1262163
61,1261964,-310.0085,1009670,503351.9,1262163
62,1261964,2.806291,758910.9,615537.8,1262163
63,1262525,6.682333,857485.5,584324,1262525
64,1262525,-103.4429,1109986,409904.2,1262525
65,1262525,-108.2294,807523.8,605110.7,1262525
66,1262525,2.717936,871118.6,569541.8,1262525
67,1262163,2.099643,912947.3,556596.7,1262525
68,1262525,-15.1619,665865.1,620410.6,1262525
69,1262163,-97.8022,657379.8,628727.5,1262525
70,1262163,1.26205,862256.2,582164.9,1262525
71,1262525,6.734199,1109916,408434.2,1262525
72,1262084,-152.2247,713779.8,618164.2,1262525
73,1262106,-99.62152,755733.1,615142.8,1262525
74,1262163,6.361543,802666,600006.4,1262525

