Generation,PopBest,PopWorst,PopAvg,StdDeviation,BestOverall
0,1045.999,-733.8781,2.515692,366.4604,1045.999
1,1125.738,-177.4721,434.9611,437.3493,1125.738
2,1245.83,6.639721,914.5327,420.8085,1245.83
3,1332.836,6.790417,1022.818,386.4891,1332.836
4,1480.865,2.807505,1128.398,365.399,1480.865
5,1756.211,2.507971,1094.307,555.8217,1756.211
6,1703.49,136.4957,1346.776,432.701,1756.211
7,1890.665,2.815642,1282.85,709.4663,1890.665
8,1877.328,6.49262,1623.464,348.6239,1890.665
9,1900.688,6.371129,1612.809,482.28,1900.688
10,2059.194,662.5223,1757.026,296.218,2059.194
11,2059.194,-106.9329,1520.116,721.8681,2059.194
12,2068.957,2.286474,1826.435,395.2367,2068.957
13,2065.733,2.113382,1254.934,882.9745,2068.957
14,2169.171,2.805561,1588.739,734.3622,2169.171
15,2169.171,1.69326,1597.644,778.6594,2169.171
16,2148.274,2.224997,1644.268,790.427,2169.171
17,3565.061,2.03326,1777.244,780.0807,3565.061
18,3690.296,-37.50126,1559.037,1127.287,3690.296
19,3565.061,2.806288,914.5452,1217.975,3690.296
20,3565.061,2.815621,1101.218,1143.887,3690.296
21,3565.061,-9.729136,569.8088,1030.944,3690.296
22,3565.061,1.506818,290.8532,806.3097,3690.296
23,3565.061,2.526499,1182.167,1206.058,3690.296
24,2321.542,-1772.186,1145.741,1198.644,3690.296
25,2403.388,2.115539,1845.189,781.4695,3690.296
26,2467.115,2.507025,1842.844,843.9311,3690.296
27,2487.509,2.109275,1663.216,1092.505,3690.296
28,2487.509,6.369312,1827.442,910.2442,3690.296
29,2541.547,6.604712,2065.893,815.7308,3690.296
30,2590.25,2.674178,2223.649,695.0757,3690.296
31,2594.171,2.82388,2075.846,832.074,3690.296
32,2578.457,2.514345,2005.289,929.102,3690.296
33,2622.862,-44.19353,2060.256,917.6868,3690.296
34,2644.428,1.908515,2252.02,802.71,3690.296
35,3000.058,2.628133,1913.58,1063.807,3690.296
36,2930.751,169.7939,2531.624,543.321,3690.296
37,3000.058,2.53482,2259.5,1117.449,3690.296
38,3025.453,1.777447,2235.936,1152.564,3690.296
39,3025.453,-1637.295,2002.348,1294.786,3690.296
40,3025.453,2.115525,2288.934,1142.981,3690.296
41,3025.453,1.281976,2202.479,1164.898,3690.296
42,3025.453,2.505622,2369.574,1029.562,3690.296
43,3007.365,2.505617,2288.822,1066.052,3690.296
44,3025.453,2.815231,2580.833,786.0857,3690.296
45,3007.365,-32.44398,2335.591,1072.411,3690.296
46,3025.453,2.758101,2223.014,1133.97,3690.296
47,3025.453,-60.73481,1810.12,1283.781,3690.296
48,3025.453,1.797807,2512.444,928.8875,3690.296
49,3025.453,1.752254,2022.879,1201.365,3690.296
50,3025.453,1.684331,2332.875,1016.539,3690.296
51,3025.453,2.076781,2101.879,1231.486,3690.296
52,2972.196,2.089494,2190.227,1170.15,3690.296
53,3025.453,2.49508,2115.791,1160.42,3690.296
54,3025.453,1.6532,2347.131,1037.944,3690.296
55,2952.535,2.118898,2230.796,1102.565,3690.296
56,3025.453,101.7253,2371.518,920.1122,3690.296
57,2952.535,-47.24861,2185.948,1186.083,3690.296
58,3025.453,1.708837,2177.66,1174.516,3690.296
59,3025.453,6.509784,2408.059,1008.647,3690.296
60,3025.453,2.089189,2294.729,1098.219,3690.296
61,3025.453,2.736851,2628.072,759.8046,3690.296
62,3025.453,-208.4285,2139.359,1153.181,3690.296
63,3025.453,178.7251,2502.094,877.1384,3690.296
64,2972.196,580.8314,2704.142,567.7172,3690.296
65,2972.196,254.1035,2430.432,847.4894,3690.296
66,3025.453,2.554201,2212.666,1215.32,3690.296
67,2972.196,2.089494,2567.154,812.396,3690.296
68,3025.453,2.079423,1533.531,1300.872,3690.296
69,2972.196,1.754328,2193.382,1082.193,3690.296
70,3025.453,2.495077,2220.671,1190.558,3690.296
71,3025.453,2.671703,2556.003,930.7764,3690.296
72,3007.365,-113.9675,1956.005,1239.96,3690.296
73,3025.453,2.315731,2092.488,1107.245,3690.296
74,3025.453,-1610.703,1982.507,1392.215,3690.296

