Generation,PopBest,PopWorst,PopAvg,StdDeviation,BestOverall
0,1191.78,-892.295,5.828547,316.7671,1191.78
1,1245.953,-7.94462,324.3935,457.651,1245.953
2,1375.974,2.089505,998.1177,457.2574,1375.974
3,1409.153,2.117151,1014.62,515.2057,1409.153
4,5338.549,6.624801,1137.156,1208.366,5338.549
5,5392.299,6.36553,1753.367,1647.331,5392.299
6,5392.299,-87.83584,3009.422,2322.507,5392.299
7,6347.975,6.369355,3546.645,2398.339,6347.975
8,6375.93,2.504047,4222.27,2693.062,6375.93
9,6803.813,6.422264,4876.029,2648.796,6803.813
10,6797.847,6.37123,4158.208,3041.202,6803.813
11,6944.655,6.614433,5277.848,2661.525,6944.655
12,27807.87,2.232444,6024.842,5157.666,27807.87
13,28437.31,2.807454,6859.805,8284.87,28437.31
14,29058.94,1.880976,14666.42,12803.34,29058.94
15,29058.94,2.43008,18634.46,13070.17,29058.94
16,29058.94,2.676196,20176.97,12355.56,29058.94
17,29058.94,2.089511,18763.95,12436.76,29058.94
18,29058.94,6.495652,23560.79,10203.42,29058.94
19,29058.94,-18.14502,21981.64,11866.86,29058.94
20,29058.94,6.371232,20984.25,11738.98,29058.94
21,29058.94,1.87677,17871.64,13225.94,29058.94
22,29058.94,2.113531,16548.38,12904.27,29058.94
23,29058.94,6.663804,22751.83,11392.99,29058.94
24,29058.94,1.542331,18180.55,13631.02,29058.94
25,29058.94,6.369276,17956.6,12878.05,29058.94
26,29094.26,1.907018,15003.47,13388.5,29094.26
27,65820.15,2.116302,17733.92,16078.42,65820.15
28,70634.92,1.193136,27290.87,20907.57,70634.92
29,73702.06,6.500366,40525.46,29169.79,73702.06
30,73905.23,2.502847,60287.6,25642.27,73905.23
31,73905.23,2.501361,44547.1,34880.34,73905.23
32,74301.19,2.117252,55814.37,30748.71,74301.19
33,1373281,-326.0214,96799.9,262857.1,1373281
34,1373281,2.264547,217409.4,427619.6,1373281
35,1373281,6.365531,249635.8,476306.4,1373281
36,1379221,6.361538,520310.3,629121.4,1379221
37,1379221,6.371229,986009.8,609276.8,1379221
38,1379513,2.261595,886210,655372.9,1379513
39,1411840,2.116326,720500.3,691060.1,1411840
40,1413500,2.113441,1122162,558736.2,1413500
41,1411560,-114.996,1014810,631877.3,1413500
42,1413500,2.805588,1017911,627673.7,1413500
43,1411459,2.503933,793568.8,694850.9,1413500
44,1413500,2.106481,1175648,513894.7,1413500
45,1413500,2.116323,1015942,629681.4,1413500
46,1419143,2.806305,1122686,561238.5,1419143
47,1441567,2.116323,779730.9,693590.1,1441567
48,1442815,-4.091862,1145084,570868.2,1442815
49,1445978,1.67891,869597.4,701638.9,1445978
50,1445978,6.694792,1037332,644918.7,1445978
51,1445978,-3.946374,981816.3,667155,1445978
52,1445978,13.13743,1148210,572249.4,1445978
53,1445978,2.67548,810832.9,712804.3,1445978
54,1445978,1.650294,928884.6,685242.8,1445978
55,1445978,-123.4904,881073.3,690618.6,1445978
56,1444569,2.822108,767709.6,705532.1,1445978
57,1445005,-2.635632,877824.9,689092.1,1445978
58,1444569,2.753447,995890.4,654123.2,1445978
59,1446656,-133.7467,1111961,590553.4,1446656
60,1446656,2.806291,981699.4,671494.2,1446656
61,1446656,6.649833,1169173,549909.5,1446656
62,1446656,2.505628,862323.8,669163.9,1446656
63,1444569,6.369486,1007438,631160.3,1446656
64,1446656,0.665249,1214691,496548,1446656
65,1445071,6.361542,824704.6,701922.3,1446656
66,1446656,6.485005,952909.7,658178.1,1446656
67,1446656,6.355413,1107300,588410.8,1446656
68,1444569,2.11345,755370,714942.9,1446656
69,1444569,-44.10041,556719.4,672074.2,1446656
70,1446656,2.505622,957306.4,653965.8,1446656
71,1446656,1.849106,1171283,549065,1446656
72,1444569,6.369486,861695.8,680046.6,1446656
73,1444569,-14610.91,821990.6,701397.3,1446656
74,1449289,2.67654,981699.7,670641.9,1449289

